,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
11,2016-01-01 00:00:00-06,0.947,47.22,0.96,8.09,-1.7026,1
23,2016-01-01 01:00:00-06,1.0016666666666665,46.5,1.0,8.22,-1.65152,1
35,2016-01-01 02:00:00-06,0.9432333333333331,46.04,1.0,8.74,-1.7025700000000001,1
47,2016-01-01 03:00:00-06,0.9790166666666664,45.34,1.0,9.31,-1.91251,1
59,2016-01-01 04:00:00-06,1.0234166666666669,44.49,1.0,8.84,-2.3949700000000003,1
71,2016-01-01 05:00:00-06,1.0131166666666664,43.88,0.98,8.61,-1.3622100000000001,1
83,2016-01-01 06:00:00-06,0.9911833333333332,42.92,0.91,8.78,-1.71973,1
95,2016-01-01 07:00:00-06,0.9743666666666664,42.73,1.0,8.86,-2.35532,1
107,2016-01-01 08:00:00-06,0.8981166666666666,42.59,1.0,9.39,8.30918,1
119,2016-01-01 09:00:00-06,0.8942166666666665,43.12,1.0,9.87,39.4862,1
131,2016-01-01 10:00:00-06,0.8639166666666666,43.68,0.98,9.9,132.175,1
143,2016-01-01 11:00:00-06,0.8724333333333331,44.52,0.92,9.26,108.83,1
155,2016-01-01 12:00:00-06,0.8989666666666666,45.93,0.97,8.81,85.2728,1
167,2016-01-01 13:00:00-06,0.8863,45.49,0.97,7.7,93.8208,1
179,2016-01-01 14:00:00-06,0.8736666666666666,46.11,0.99,8.1,99.4203,1
191,2016-01-01 15:00:00-06,0.8533166666666666,46.35,0.8,8.12,209.046,1
203,2016-01-01 16:00:00-06,0.8923,45.78,0.93,7.51,19.3617,1
215,2016-01-01 17:00:00-06,0.9334166666666665,45.16,0.97,6.56,8.87914,1
227,2016-01-01 18:00:00-06,0.9132,44.63,1.0,6.59,-1.70317,1
239,2016-01-01 19:00:00-06,0.8974166666666666,44.79,1.0,6.3,-2.0441,1
251,2016-01-01 20:00:00-06,0.9007166666666666,44.6,1.0,5.94,-2.23153,1
263,2016-01-01 21:00:00-06,0.9055833333333332,44.5,1.0,6.1,-2.17475,1
275,2016-01-01 22:00:00-06,0.9050833333333332,44.18,1.0,5.63,-2.01009,1
287,2016-01-01 23:00:00-06,0.8882,44.02,1.0,5.02,-1.78865,1
