"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8642,2016-01-31 00:00:00-06,0.6246666666666666,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.5407333333333332,1.5977833333333331
8654,2016-01-31 01:00:00-06,0.44016666666666654,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.42661666666666653,2.800866666666667
8666,2016-01-31 02:00:00-06,0.4547166666666666,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.4434833333333333,2.09735
8678,2016-01-31 03:00:00-06,0.4757666666666666,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.44026666666666653,1.882083333333333
8690,2016-01-31 04:00:00-06,0.4934666666666666,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.43466666666666653,3.30495
8702,2016-01-31 05:00:00-06,0.45225,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.4229,2.2236333333333334
8714,2016-01-31 06:00:00-06,0.5381166666666666,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,1.2448333333333332,1.573
8726,2016-01-31 07:00:00-06,0.6087166666666666,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,4.22355,2.84205
8738,2016-01-31 08:00:00-06,0.9810833333333332,59.69,0.87,6.38,104.113,0,8.30918,104.625,4.4696333333333325,3.2222833333333334
8750,2016-01-31 09:00:00-06,0.8374833333333331,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,4.142533333333333,2.1421
8762,2016-01-31 10:00:00-06,0.8232833333333331,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,2.931633333333333,2.050466666666667
8774,2016-01-31 11:00:00-06,0.7889333333333332,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,2.215116666666667,1.5791
8786,2016-01-31 12:00:00-06,0.5161,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,1.1867166666666669,1.75195
8798,2016-01-31 13:00:00-06,0.5145666666666666,77.0,0.05,4.22,782.034,0,93.8208,741.559,2.0488,1.2650666666666668
8810,2016-01-31 14:00:00-06,0.4713666666666666,79.65,0.03,3.05,724.258,0,99.4203,678.543,3.367983333333333,0.8691166666666666
8822,2016-01-31 15:00:00-06,0.4653,80.93,0.01,1.65,600.888,0,209.046,550.913,4.450916666666666,0.7537666666666666
8834,2016-01-31 16:00:00-06,0.6017166666666666,80.92,0.01,1.22,416.6,0,19.3617,387.267,2.338483333333333,0.8589333333333331
8846,2016-01-31 17:00:00-06,3.3847666666666667,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,5.370616666666667,1.9475
8858,2016-01-31 18:00:00-06,2.601983333333333,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,4.6253,0.8506
8870,2016-01-31 19:00:00-06,2.1635833333333334,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,1.3381166666666668,0.7897166666666666
8882,2016-01-31 20:00:00-06,1.749966666666667,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,0.97545,1.10225
8894,2016-01-31 21:00:00-06,1.3192833333333331,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,1.0396666666666667,0.9274333333333332
8906,2016-01-31 22:00:00-06,1.092933333333333,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,1.398383333333333,0.5061166666666665
8918,2016-01-31 23:00:00-06,0.4627,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,2.05305,0.64375
8930,2016-02-01 00:00:00-06,0.4275833333333333,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.6392666666666666,0.8784
8942,2016-02-01 01:00:00-06,0.4524333333333333,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.4221333333333333,1.1776833333333332
8954,2016-02-01 02:00:00-06,0.4517833333333333,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.4186333333333333,1.28045
8966,2016-02-01 03:00:00-06,0.44855,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.7097,1.0093
8978,2016-02-01 04:00:00-06,0.4343,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,1.02535,1.2060833333333332
8990,2016-02-01 05:00:00-06,0.42775,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.48415,1.21095
9002,2016-02-01 06:00:00-06,1.2222166666666667,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.6042833333333332,1.9861166666666668
9014,2016-02-01 07:00:00-06,1.1439666666666668,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,4.501083333333333,1.9517166666666668
9026,2016-02-01 08:00:00-06,0.7823166666666665,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,5.3056,1.1255666666666668
9038,2016-02-01 09:00:00-06,0.4723666666666666,57.05,0.62,3.05,291.15,1,8.29157,248.423,4.2176,0.6307166666666666
9050,2016-02-01 10:00:00-06,0.4810166666666666,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,2.0216833333333333,0.829183333333333
9062,2016-02-01 11:00:00-06,0.5332833333333332,63.38,0.76,4.73,663.888,1,42.2416,360.561,1.0971833333333332,0.45475
9074,2016-02-01 12:00:00-06,0.5868666666666666,65.94,0.65,6.16,766.074,1,60.1026,639.696,0.46885,0.4516166666666666
9086,2016-02-01 13:00:00-06,0.47115,67.95,0.55,6.84,784.2189999999999,1,65.9975,691.5260000000001,0.4298833333333333,0.444
9098,2016-02-01 14:00:00-06,0.5051333333333332,70.33,0.29,7.06,738.443,1,36.5113,393.96,0.4502833333333333,0.42916666666666653
9110,2016-02-01 15:00:00-06,2.5116666666666667,71.74,0.21,7.86,602.284,1,47.8015,348.74800000000005,0.51565,0.5029166666666666
