,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
9,2016-01-01 00:00:00-06,0.4427833333333333,47.22,0.96,8.09,-1.7026,1
21,2016-01-01 01:00:00-06,0.4329,46.5,1.0,8.22,-1.65152,1
33,2016-01-01 02:00:00-06,0.61665,46.04,1.0,8.74,-1.7025700000000001,1
45,2016-01-01 03:00:00-06,0.5152333333333332,45.34,1.0,9.31,-1.91251,1
57,2016-01-01 04:00:00-06,1.50695,44.49,1.0,8.84,-2.3949700000000003,1
69,2016-01-01 05:00:00-06,1.488816666666667,43.88,0.98,8.61,-1.3622100000000001,1
81,2016-01-01 06:00:00-06,1.59795,42.92,0.91,8.78,-1.71973,1
93,2016-01-01 07:00:00-06,0.9168833333333332,42.73,1.0,8.86,-2.35532,1
105,2016-01-01 08:00:00-06,0.2372666666666666,42.59,1.0,9.39,8.30918,1
117,2016-01-01 09:00:00-06,0.2614,43.12,1.0,9.87,39.4862,1
129,2016-01-01 10:00:00-06,0.2847333333333333,43.68,0.98,9.9,132.175,1
141,2016-01-01 11:00:00-06,0.94245,44.52,0.92,9.26,108.83,1
153,2016-01-01 12:00:00-06,0.21055,45.93,0.97,8.81,85.2728,1
165,2016-01-01 13:00:00-06,0.2705333333333333,45.49,0.97,7.7,93.8208,1
177,2016-01-01 14:00:00-06,0.49625,46.11,0.99,8.1,99.4203,1
189,2016-01-01 15:00:00-06,0.2738333333333333,46.35,0.8,8.12,209.046,1
201,2016-01-01 16:00:00-06,0.38655,45.78,0.93,7.51,19.3617,1
213,2016-01-01 17:00:00-06,0.4703333333333332,45.16,0.97,6.56,8.87914,1
225,2016-01-01 18:00:00-06,0.6195,44.63,1.0,6.59,-1.70317,1
237,2016-01-01 19:00:00-06,0.42231666666666656,44.79,1.0,6.3,-2.0441,1
249,2016-01-01 20:00:00-06,0.3363333333333333,44.6,1.0,5.94,-2.23153,1
261,2016-01-01 21:00:00-06,0.3916333333333333,44.5,1.0,6.1,-2.17475,1
273,2016-01-01 22:00:00-06,0.3173,44.18,1.0,5.63,-2.01009,1
285,2016-01-01 23:00:00-06,0.15865,44.02,1.0,5.02,-1.78865,1
297,2016-01-02 00:00:00-06,0.12726666666666664,43.86,1.0,5.13,-1.9477400000000002,0
309,2016-01-02 01:00:00-06,0.1245,43.63,0.95,5.1,-2.0442,0
321,2016-01-02 02:00:00-06,0.12385,43.31,0.9,5.04,-2.03852,0
333,2016-01-02 03:00:00-06,0.12295,43.17,0.8,4.81,-2.04445,0
345,2016-01-02 04:00:00-06,0.1251833333333333,42.76,0.91,3.62,-1.70373,0
357,2016-01-02 05:00:00-06,0.12296666666666665,43.34,0.96,4.56,-1.70375,0
369,2016-01-02 06:00:00-06,0.1215833333333333,43.16,1.0,3.72,-2.0445,0
381,2016-01-02 07:00:00-06,0.1203333333333333,43.13,0.95,3.47,-2.3000599999999998,0
393,2016-01-02 08:00:00-06,0.20255,42.82,0.82,3.6,0.834837,0
405,2016-01-02 09:00:00-06,0.6987,43.91,0.88,3.65,8.29157,0
417,2016-01-02 10:00:00-06,0.3153166666666666,44.81,0.89,4.14,13.5164,0
429,2016-01-02 11:00:00-06,0.44706666666666656,45.84,0.89,3.61,42.2416,0
441,2016-01-02 12:00:00-06,0.4675833333333332,46.48,0.88,3.53,60.1026,0
453,2016-01-02 13:00:00-06,0.7975,46.94,0.83,3.03,65.9975,0
465,2016-01-02 14:00:00-06,1.7621666666666669,47.26,0.74,3.22,36.5113,0
477,2016-01-02 15:00:00-06,1.4048,47.76,0.71,2.99,47.8015,0
489,2016-01-02 16:00:00-06,1.0832333333333333,47.1,0.7,2.88,11.0005,0
501,2016-01-02 17:00:00-06,1.1573666666666669,46.45,0.88,2.17,21.1719,0
513,2016-01-02 18:00:00-06,1.2285833333333331,44.25,0.91,1.89,-1.70375,0
525,2016-01-02 19:00:00-06,1.8209333333333333,43.67,0.8,1.9,-1.87412,0
537,2016-01-02 20:00:00-06,1.2198,42.88,0.79,2.08,-1.6128799999999999,0
549,2016-01-02 21:00:00-06,0.8180666666666666,42.91,0.82,0.66,-1.26645,0
561,2016-01-02 22:00:00-06,0.5020833333333332,42.56,0.97,1.99,-1.2891700000000001,0
573,2016-01-02 23:00:00-06,0.2659,43.0,0.82,2.3,-1.363,0
585,2016-01-03 00:00:00-06,0.18686666666666665,42.3,0.9,2.94,-1.363,0
597,2016-01-03 01:00:00-06,0.16575,42.06,0.85,3.67,-1.363,0
609,2016-01-03 02:00:00-06,0.16076666666666664,41.63,0.81,3.06,-1.29485,0
621,2016-01-03 03:00:00-06,0.14516666666666664,41.72,0.75,2.49,-0.976816,0
633,2016-01-03 04:00:00-06,0.13831666666666664,41.8,0.67,3.05,-1.02225,0
645,2016-01-03 05:00:00-06,0.1497833333333333,41.96,0.85,3.35,-1.0563200000000001,0
657,2016-01-03 06:00:00-06,0.1260333333333333,42.54,0.89,3.14,-1.36289,0
669,2016-01-03 07:00:00-06,0.14175,42.81,0.83,2.63,-1.7034599999999998,0
681,2016-01-03 08:00:00-06,0.25695,42.89,0.56,2.9,26.6194,0
693,2016-01-03 09:00:00-06,0.8762,45.2,0.19,4.89,109.61200000000001,0
705,2016-01-03 10:00:00-06,0.6541666666666666,48.85,0.69,4.59,233.541,0
717,2016-01-03 11:00:00-06,0.2683166666666666,52.0,0.63,4.65,390.98199999999997,0
729,2016-01-03 12:00:00-06,0.2528166666666666,54.16,0.59,4.61,306.04200000000003,0
741,2016-01-03 13:00:00-06,0.2394666666666666,57.04,0.55,4.52,192.72099999999998,0
753,2016-01-03 14:00:00-06,0.22801666666666665,58.33,0.42,5.15,142.53799999999998,0
765,2016-01-03 15:00:00-06,0.18928333333333328,59.5,0.04,4.18,245.80200000000002,0
777,2016-01-03 16:00:00-06,0.22765,59.63,0.04,4.01,161.54399999999998,0
789,2016-01-03 17:00:00-06,0.23485,58.07,0.04,3.07,45.0467,0
801,2016-01-03 18:00:00-06,0.21435,53.78,0.02,2.14,-0.58436,0
813,2016-01-03 19:00:00-06,0.24325,50.92,0.0,2.25,-2.0481,0
825,2016-01-03 20:00:00-06,0.23615,47.05,0.0,2.25,-2.72382,0
837,2016-01-03 21:00:00-06,0.1989,43.99,0.0,1.77,-2.72428,0
849,2016-01-03 22:00:00-06,0.17241666666666666,41.97,0.0,3.05,-2.71922,0
861,2016-01-03 23:00:00-06,0.16095,40.57,0.0,3.07,-2.72507,0
873,2016-01-04 00:00:00-06,0.16125,42.08,0.12,2.89,-2.7253,1
885,2016-01-04 01:00:00-06,0.1708833333333333,41.0,0.13,3.31,-2.47002,1
897,2016-01-04 02:00:00-06,0.1438,41.23,0.13,3.16,-2.72553,1
909,2016-01-04 03:00:00-06,0.14276666666666665,40.04,0.13,2.39,-2.72572,1
921,2016-01-04 04:00:00-06,0.14261666666666664,38.93,0.13,3.0,-2.68624,1
933,2016-01-04 05:00:00-06,0.2624166666666666,38.64,0.13,4.52,-2.37957,1
945,2016-01-04 06:00:00-06,0.2451833333333333,37.6,0.13,3.44,-2.41364,1
957,2016-01-04 07:00:00-06,0.23985,37.06,0.13,3.32,-2.1978400000000002,1
969,2016-01-04 08:00:00-06,0.22811666666666666,37.45,0.13,3.98,48.4709,1
981,2016-01-04 09:00:00-06,0.224,41.22,0.13,3.24,152.738,1
993,2016-01-04 10:00:00-06,0.19938333333333327,46.07,0.13,3.66,236.778,1
1005,2016-01-04 11:00:00-06,0.2059,49.51,0.12,3.25,500.024,1
1017,2016-01-04 12:00:00-06,0.19065,53.19,0.12,4.05,683.6569999999999,1
1029,2016-01-04 13:00:00-06,0.1437833333333333,55.1,0.14,3.77,719.077,1
1041,2016-01-04 14:00:00-06,0.15641666666666665,55.87,0.16,3.38,654.467,1
1053,2016-01-04 15:00:00-06,0.18796666666666664,55.98,0.14,4.38,525.263,1
1065,2016-01-04 16:00:00-06,0.14635,55.15,0.16,4.37,352.059,1
1077,2016-01-04 17:00:00-06,0.21056666666666665,53.42,0.18,4.18,137.42700000000002,1
1089,2016-01-04 18:00:00-06,0.17066666666666666,50.15,0.12,3.36,2.7545599999999997,1
1101,2016-01-04 19:00:00-06,0.2402166666666666,47.16,0.04,3.08,-2.72211,1
1113,2016-01-04 20:00:00-06,0.2078,45.16,0.03,2.64,-2.72315,1
1125,2016-01-04 21:00:00-06,0.1718,42.65,0.03,2.53,-2.72364,1
1137,2016-01-04 22:00:00-06,0.18311666666666662,41.59,0.02,1.51,-2.04311,1
1149,2016-01-04 23:00:00-06,0.1560833333333333,39.51,0.03,1.63,-2.34958,1
1161,2016-01-05 00:00:00-06,0.12521666666666664,39.7,0.35,2.35,-2.7185900000000003,1
1173,2016-01-05 01:00:00-06,0.12336666666666665,38.4,0.42,2.2,-2.38397,1
1185,2016-01-05 02:00:00-06,0.1229833333333333,37.24,0.49,1.68,-2.60576,1
1197,2016-01-05 03:00:00-06,0.12195,36.73,0.55,1.73,-1.42499,1
1209,2016-01-05 04:00:00-06,0.12171666666666665,36.23,0.62,2.05,-1.70317,1
1221,2016-01-05 05:00:00-06,0.1211333333333333,36.28,0.68,2.46,-1.3623299999999998,1
1233,2016-01-05 06:00:00-06,0.2418666666666666,36.37,0.7,2.75,-1.9921099999999998,1
1245,2016-01-05 07:00:00-06,0.4763,36.95,0.61,3.3,-1.7026,1
1257,2016-01-05 08:00:00-06,0.4976666666666666,38.29,0.46,3.76,21.3903,1
1269,2016-01-05 09:00:00-06,0.5051333333333332,40.72,0.37,5.21,71.5287,1
1281,2016-01-05 10:00:00-06,0.3079333333333333,43.42,0.37,5.16,177.791,1
1293,2016-01-05 11:00:00-06,0.245,46.85,0.42,5.01,159.803,1
1305,2016-01-05 12:00:00-06,0.6027333333333332,50.21,0.46,4.18,207.55200000000002,1
1317,2016-01-05 13:00:00-06,0.7334833333333332,52.54,0.45,4.34,142.982,1
1329,2016-01-05 14:00:00-06,0.23795,54.51,0.41,4.5,107.926,1
1341,2016-01-05 15:00:00-06,0.16306666666666664,55.28,0.45,4.86,82.9796,1
1353,2016-01-05 16:00:00-06,0.2960833333333333,55.2,0.72,4.76,42.1758,1
1365,2016-01-05 17:00:00-06,0.4733333333333332,54.2,0.79,4.1,16.2036,1
1377,2016-01-05 18:00:00-06,0.4853333333333332,52.72,0.93,3.83,-1.70087,1
1389,2016-01-05 19:00:00-06,1.05325,51.24,0.93,4.46,-2.12608,1
1401,2016-01-05 20:00:00-06,1.8555166666666667,50.14,0.73,4.84,-2.38124,1
1413,2016-01-05 21:00:00-06,1.7329333333333332,49.52,0.88,4.84,-1.70113,1
1425,2016-01-05 22:00:00-06,1.4598833333333332,48.89,0.97,4.51,-1.9450900000000002,1
1437,2016-01-05 23:00:00-06,0.15665,48.64,0.97,4.62,-1.8884,1
1449,2016-01-06 00:00:00-06,0.12355,47.96,0.89,3.5,-1.8602299999999998,1
1461,2016-01-06 01:00:00-06,0.13555,47.53,0.76,3.35,-1.85457,1
1473,2016-01-06 02:00:00-06,0.1362833333333333,47.01,0.86,2.92,-2.3820200000000002,1
1485,2016-01-06 03:00:00-06,0.12485,46.87,0.84,2.91,-2.4841,1
1497,2016-01-06 04:00:00-06,0.2152,46.57,0.88,2.73,-2.13821,1
1509,2016-01-06 05:00:00-06,0.1646833333333333,46.04,0.86,2.14,-1.72417,1
1521,2016-01-06 06:00:00-06,0.2863333333333333,46.06,1.0,1.78,-2.3822900000000002,1
1533,2016-01-06 07:00:00-06,0.5957833333333332,46.13,0.88,2.56,-1.7698,1
1545,2016-01-06 08:00:00-06,0.3429833333333333,46.35,0.72,2.47,35.4754,1
1557,2016-01-06 09:00:00-06,0.90185,47.15,0.53,2.94,52.6909,1
1569,2016-01-06 10:00:00-06,0.3427166666666666,48.39,0.58,3.0,487.342,1
1581,2016-01-06 11:00:00-06,0.22221666666666665,50.01,0.69,3.62,384.32199999999995,1
1593,2016-01-06 12:00:00-06,0.3416833333333333,51.39,0.75,3.08,335.901,1
1605,2016-01-06 13:00:00-06,0.3181666666666666,52.32,0.7,3.9,155.946,1
1617,2016-01-06 14:00:00-06,0.8739666666666666,53.05,0.57,2.87,186.982,1
1629,2016-01-06 15:00:00-06,0.1952333333333333,53.7,0.52,3.16,396.49699999999996,1
1641,2016-01-06 16:00:00-06,0.21048333333333327,53.82,0.6,3.41,200.68599999999998,1
1653,2016-01-06 17:00:00-06,0.2396166666666666,53.42,0.67,2.15,88.9366,1
1665,2016-01-06 18:00:00-06,0.2777666666666666,52.75,0.69,2.41,-0.753328,1
1677,2016-01-06 19:00:00-06,0.5346833333333332,52.42,1.0,1.77,-2.9064799999999997,1
1689,2016-01-06 20:00:00-06,0.34015,52.46,1.0,1.83,-2.7198700000000002,1
1701,2016-01-06 21:00:00-06,1.11495,52.59,1.0,0.64,-2.69215,1
1713,2016-01-06 22:00:00-06,0.5106166666666666,52.29,1.0,1.6,-2.7204900000000003,1
1725,2016-01-06 23:00:00-06,0.12236666666666665,52.21,1.0,1.61,-2.60753,1
1737,2016-01-07 00:00:00-06,0.11566666666666665,52.39,0.88,1.02,-2.7212400000000003,1
1749,2016-01-07 01:00:00-06,0.12951666666666664,51.47,0.82,1.87,-2.38121,1
1761,2016-01-07 02:00:00-06,0.1186,51.36,0.76,1.79,-1.8879599999999999,1
1773,2016-01-07 03:00:00-06,0.1185,51.22,0.71,1.35,-1.7122,1
1785,2016-01-07 04:00:00-06,0.2332,51.08,0.72,1.35,-1.72354,1
1797,2016-01-07 05:00:00-06,0.1300333333333333,50.65,0.75,1.56,-1.8766200000000002,1
