,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
2,2016-01-01 00:00:00-06,0.5407333333333332,47.22,0.96,8.09,-1.7026,1
14,2016-01-01 01:00:00-06,0.42661666666666653,46.5,1.0,8.22,-1.65152,1
26,2016-01-01 02:00:00-06,0.4434833333333333,46.04,1.0,8.74,-1.7025700000000001,1
38,2016-01-01 03:00:00-06,0.44026666666666653,45.34,1.0,9.31,-1.91251,1
50,2016-01-01 04:00:00-06,0.43466666666666653,44.49,1.0,8.84,-2.3949700000000003,1
62,2016-01-01 05:00:00-06,0.4229,43.88,0.98,8.61,-1.3622100000000001,1
74,2016-01-01 06:00:00-06,1.2448333333333332,42.92,0.91,8.78,-1.71973,1
86,2016-01-01 07:00:00-06,4.22355,42.73,1.0,8.86,-2.35532,1
98,2016-01-01 08:00:00-06,4.4696333333333325,42.59,1.0,9.39,8.30918,1
110,2016-01-01 09:00:00-06,4.142533333333333,43.12,1.0,9.87,39.4862,1
122,2016-01-01 10:00:00-06,2.931633333333333,43.68,0.98,9.9,132.175,1
134,2016-01-01 11:00:00-06,2.215116666666667,44.52,0.92,9.26,108.83,1
146,2016-01-01 12:00:00-06,1.1867166666666669,45.93,0.97,8.81,85.2728,1
158,2016-01-01 13:00:00-06,2.0488,45.49,0.97,7.7,93.8208,1
170,2016-01-01 14:00:00-06,3.367983333333333,46.11,0.99,8.1,99.4203,1
182,2016-01-01 15:00:00-06,4.450916666666666,46.35,0.8,8.12,209.046,1
194,2016-01-01 16:00:00-06,2.338483333333333,45.78,0.93,7.51,19.3617,1
206,2016-01-01 17:00:00-06,5.370616666666667,45.16,0.97,6.56,8.87914,1
218,2016-01-01 18:00:00-06,4.6253,44.63,1.0,6.59,-1.70317,1
230,2016-01-01 19:00:00-06,1.3381166666666668,44.79,1.0,6.3,-2.0441,1
242,2016-01-01 20:00:00-06,0.97545,44.6,1.0,5.94,-2.23153,1
254,2016-01-01 21:00:00-06,1.0396666666666667,44.5,1.0,6.1,-2.17475,1
266,2016-01-01 22:00:00-06,1.398383333333333,44.18,1.0,5.63,-2.01009,1
278,2016-01-01 23:00:00-06,2.05305,44.02,1.0,5.02,-1.78865,1
290,2016-01-02 00:00:00-06,0.6392666666666666,43.86,1.0,5.13,-1.9477400000000002,0
302,2016-01-02 01:00:00-06,0.4221333333333333,43.63,0.95,5.1,-2.0442,0
314,2016-01-02 02:00:00-06,0.4186333333333333,43.31,0.9,5.04,-2.03852,0
326,2016-01-02 03:00:00-06,0.7097,43.17,0.8,4.81,-2.04445,0
338,2016-01-02 04:00:00-06,1.02535,42.76,0.91,3.62,-1.70373,0
350,2016-01-02 05:00:00-06,0.48415,43.34,0.96,4.56,-1.70375,0
362,2016-01-02 06:00:00-06,0.6042833333333332,43.16,1.0,3.72,-2.0445,0
374,2016-01-02 07:00:00-06,4.501083333333333,43.13,0.95,3.47,-2.3000599999999998,0
386,2016-01-02 08:00:00-06,5.3056,42.82,0.82,3.6,0.834837,0
398,2016-01-02 09:00:00-06,4.2176,43.91,0.88,3.65,8.29157,0
410,2016-01-02 10:00:00-06,2.0216833333333333,44.81,0.89,4.14,13.5164,0
422,2016-01-02 11:00:00-06,1.0971833333333332,45.84,0.89,3.61,42.2416,0
434,2016-01-02 12:00:00-06,0.46885,46.48,0.88,3.53,60.1026,0
446,2016-01-02 13:00:00-06,0.4298833333333333,46.94,0.83,3.03,65.9975,0
458,2016-01-02 14:00:00-06,0.4502833333333333,47.26,0.74,3.22,36.5113,0
