"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
9097,2016-02-01 14:00:00-06,1.0033666666666663,70.33,0.29,7.06,738.443,1,36.5113,393.96,3.8666166666666664,0.5142
9109,2016-02-01 15:00:00-06,1.5661333333333332,71.74,0.21,7.86,602.284,1,47.8015,348.74800000000005,3.4234666666666667,0.48415
9121,2016-02-01 16:00:00-06,1.8420833333333333,72.78,0.16,7.44,428.26,1,11.0005,166.47299999999998,2.957533333333333,0.5024333333333332
9133,2016-02-01 17:00:00-06,1.7390166666666669,73.25,0.15,7.75,214.923,1,21.1719,94.6888,2.931216666666667,0.5035166666666666
9145,2016-02-01 18:00:00-06,1.5569,71.72,0.08,8.71,25.7141,1,-1.70375,2.3949599999999998,3.108716666666667,0.3500666666666666
9157,2016-02-01 19:00:00-06,1.2642166666666668,69.39,0.06,10.31,-3.3975699999999995,1,-1.87412,-2.7185200000000003,3.2323833333333334,0.3662166666666666
9169,2016-02-01 20:00:00-06,1.1061333333333332,67.32,0.13,11.63,-2.80985,1,-1.6128799999999999,-2.62276,3.0816833333333333,0.36
9181,2016-02-01 21:00:00-06,1.248,65.53,0.51,10.81,-2.7195400000000003,1,-1.26645,-2.70819,4.179633333333332,0.37135
9193,2016-02-01 22:00:00-06,0.7844833333333331,65.17,0.77,8.13,-2.71976,1,-1.2891700000000001,-2.5553,3.0725333333333333,0.35605
9205,2016-02-01 23:00:00-06,0.6006333333333332,64.85,0.81,6.31,-2.71997,1,-1.363,-2.61249,3.005983333333333,0.37646666666666656
9217,2016-02-02 00:00:00-06,0.418,63.3,0.62,6.13,-2.72004,1,-1.363,-2.3804,3.7397,0.3435
9229,2016-02-02 01:00:00-06,0.4050166666666665,60.61,0.5,5.95,-2.86179,1,-1.363,-2.3805099999999997,3.2812,0.4291833333333333
9241,2016-02-02 02:00:00-06,0.41526666666666656,57.88,0.3,6.12,-2.72045,1,-1.29485,-2.38048,3.226666666666667,0.42685
9253,2016-02-02 03:00:00-06,0.4033833333333333,55.38,0.16,6.22,-2.78281,1,-0.976816,-2.38081,3.8723666666666663,0.3732333333333333
9265,2016-02-02 04:00:00-06,0.3937,53.89,0.29,7.25,-2.89616,1,-1.02225,-2.46599,3.4862,0.3638166666666666
9277,2016-02-02 05:00:00-06,0.41281666666666655,52.68,0.15,6.71,-2.81687,1,-1.0563200000000001,-2.72138,3.3096,0.4452333333333333
9289,2016-02-02 06:00:00-06,0.6050666666666666,51.55,0.11,6.72,-3.3559300000000003,1,-1.36289,-2.72138,3.7593833333333326,0.5764166666666666
9301,2016-02-02 07:00:00-06,3.028116666666667,51.8,0.1,5.71,-2.72138,1,-1.7034599999999998,-2.60799,3.9940666666666664,0.5731166666666666
9313,2016-02-02 08:00:00-06,3.9118333333333326,52.7,0.06,5.39,20.7222,1,26.6194,13.794,3.473466666666667,0.5367333333333332
9325,2016-02-02 09:00:00-06,3.941033333333333,55.4,0.02,6.3,86.5032,1,109.61200000000001,100.64,5.525033333333333,1.4383
9337,2016-02-02 10:00:00-06,4.420033333333333,58.98,0.01,7.71,186.62,1,233.541,258.418,6.006283333333333,2.81535
9349,2016-02-02 11:00:00-06,1.697,61.78,0.01,9.38,463.345,1,390.98199999999997,547.691,9.30435,0.69525
9361,2016-02-02 12:00:00-06,1.4887,64.0,0.02,10.0,764.63,1,306.04200000000003,714.404,5.38355,0.5362833333333332
9373,2016-02-02 13:00:00-06,1.344666666666667,65.58,0.0,9.02,792.877,1,192.72099999999998,254.90900000000002,2.16555,0.5545333333333332
9385,2016-02-02 14:00:00-06,1.3533,67.53,0.0,8.01,738.3539999999999,1,142.53799999999998,134.635,1.5031666666666668,0.5389333333333332
9397,2016-02-02 15:00:00-06,4.811633333333333,68.0,0.0,7.05,625.523,1,245.80200000000002,208.362,1.36175,0.54125
9409,2016-02-02 16:00:00-06,1.91835,67.76,0.0,5.54,434.397,1,161.54399999999998,81.6698,0.9595166666666664,0.5228833333333331
