"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8645,2016-01-31 00:00:00-06,0.4645333333333332,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.85945,0.90305
8657,2016-01-31 01:00:00-06,0.19801666666666665,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.8892333333333331,0.19685
8669,2016-01-31 02:00:00-06,0.21771666666666664,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.9035833333333332,0.2994666666666666
8681,2016-01-31 03:00:00-06,0.17391666666666666,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.8795,0.2494333333333333
8693,2016-01-31 04:00:00-06,0.2654166666666666,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.8015333333333331,0.2307833333333333
8705,2016-01-31 05:00:00-06,0.2691166666666666,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.7343833333333332,0.2513833333333333
8717,2016-01-31 06:00:00-06,0.22353333333333328,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,1.1096333333333332,0.27205
8729,2016-01-31 07:00:00-06,0.2264,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.5207333333333332,0.2462
8741,2016-01-31 08:00:00-06,0.2481833333333333,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.3460166666666666,0.3305833333333333
8753,2016-01-31 09:00:00-06,0.42681666666666657,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,0.3367,0.4325
8765,2016-01-31 10:00:00-06,0.16866666666666666,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,0.43851666666666655,0.4382666666666665
8777,2016-01-31 11:00:00-06,0.43055,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.6179333333333332,0.4601666666666666
8789,2016-01-31 12:00:00-06,1.3685166666666668,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,1.3490666666666669,1.6150666666666669
8801,2016-01-31 13:00:00-06,1.0542,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.502,0.4223333333333333
8813,2016-01-31 14:00:00-06,0.2391833333333333,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.49925,0.6091
8825,2016-01-31 15:00:00-06,0.2360333333333333,80.93,0.01,1.65,600.888,0,209.046,550.913,0.5523833333333332,0.5503666666666666
8837,2016-01-31 16:00:00-06,0.17675,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.5282,0.5424
8849,2016-01-31 17:00:00-06,0.21283333333333326,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.46325,0.4856833333333332
8861,2016-01-31 18:00:00-06,2.3348166666666668,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,2.577033333333333,0.61885
8873,2016-01-31 19:00:00-06,0.3245,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,1.251183333333333,0.87775
8885,2016-01-31 20:00:00-06,0.2925333333333333,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,3.2946166666666667,0.36198333333333327
8897,2016-01-31 21:00:00-06,0.2913666666666666,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,0.99345,0.37111666666666654
8909,2016-01-31 22:00:00-06,0.38625,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,1.8188333333333333,0.2795166666666666
8921,2016-01-31 23:00:00-06,0.3972,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,1.048433333333333,0.3327166666666666
8933,2016-02-01 00:00:00-06,0.16915,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,1.339883333333333,0.18375
8945,2016-02-01 01:00:00-06,0.1656333333333333,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.3619666666666666,0.22073333333333328
8957,2016-02-01 02:00:00-06,0.14601666666666666,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.2410166666666666,0.3017
8969,2016-02-01 03:00:00-06,0.1805,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.43451666666666655,0.2720833333333333
8981,2016-02-01 04:00:00-06,0.2389333333333333,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,0.4266666666666665,0.2704
8993,2016-02-01 05:00:00-06,0.1573,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.33685,0.1754333333333333
9005,2016-02-01 06:00:00-06,0.22575,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.2157,0.3244166666666666
9017,2016-02-01 07:00:00-06,0.1417333333333333,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,0.2878333333333333,0.19941666666666666
9029,2016-02-01 08:00:00-06,0.2707,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,0.2523666666666666,0.3554
9041,2016-02-01 09:00:00-06,0.18246666666666664,57.05,0.62,3.05,291.15,1,8.29157,248.423,0.2468833333333333,0.3053333333333333
9053,2016-02-01 10:00:00-06,0.2349833333333333,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,0.3484333333333333,0.20023333333333326
9065,2016-02-01 11:00:00-06,0.2087,63.38,0.76,4.73,663.888,1,42.2416,360.561,0.4286833333333333,0.2672
9077,2016-02-01 12:00:00-06,0.2882333333333333,65.94,0.65,6.16,766.074,1,60.1026,639.696,0.4672333333333332,0.21671666666666664
9089,2016-02-01 13:00:00-06,0.2498833333333333,67.95,0.55,6.84,784.2189999999999,1,65.9975,691.5260000000001,0.3435833333333333,0.2441166666666666
9101,2016-02-01 14:00:00-06,0.19123333333333328,70.33,0.29,7.06,738.443,1,36.5113,393.96,1.0813,0.3196333333333333
9113,2016-02-01 15:00:00-06,0.2138,71.74,0.21,7.86,602.284,1,47.8015,348.74800000000005,1.8175666666666668,0.2886833333333333
9125,2016-02-01 16:00:00-06,0.17261666666666664,72.78,0.16,7.44,428.26,1,11.0005,166.47299999999998,1.1339333333333332,0.2883333333333333
9137,2016-02-01 17:00:00-06,0.2701333333333333,73.25,0.15,7.75,214.923,1,21.1719,94.6888,0.2678666666666666,0.2463833333333333
9149,2016-02-01 18:00:00-06,0.2773166666666666,71.72,0.08,8.71,25.7141,1,-1.70375,2.3949599999999998,0.2423166666666666,0.2968166666666666
9161,2016-02-01 19:00:00-06,0.21385,69.39,0.06,10.31,-3.3975699999999995,1,-1.87412,-2.7185200000000003,0.3148333333333333,0.2204333333333333
9173,2016-02-01 20:00:00-06,0.6004,67.32,0.13,11.63,-2.80985,1,-1.6128799999999999,-2.62276,0.2657,0.3725333333333333
