"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8646,2016-01-31 00:00:00-06,2.99365,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.19106666666666666,0.3115333333333333
8658,2016-01-31 01:00:00-06,0.95255,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.17081666666666664,0.2728833333333333
8670,2016-01-31 02:00:00-06,0.3597166666666666,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.1791,0.19286666666666666
8682,2016-01-31 03:00:00-06,0.3346833333333333,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.1655,0.1674
8694,2016-01-31 04:00:00-06,0.2807666666666666,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.18708333333333327,0.15671666666666664
8706,2016-01-31 05:00:00-06,0.2848166666666666,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.16806666666666664,0.1668333333333333
8718,2016-01-31 06:00:00-06,0.3675,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.2068,0.24075
8730,2016-01-31 07:00:00-06,0.3294,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.29585,0.2882833333333333
8742,2016-01-31 08:00:00-06,0.2633,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.1818,0.26855
8754,2016-01-31 09:00:00-06,1.3789333333333331,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,0.18196666666666664,0.3353
8766,2016-01-31 10:00:00-06,1.0217,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,2.2455,0.21671666666666664
8778,2016-01-31 11:00:00-06,0.4590166666666666,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.6082666666666666,0.2891
8790,2016-01-31 12:00:00-06,0.6800833333333332,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,0.3616666666666666,0.3903333333333333
8802,2016-01-31 13:00:00-06,0.4054833333333333,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.17415,0.16706666666666664
8814,2016-01-31 14:00:00-06,0.2999333333333333,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.20463333333333328,0.16235
8826,2016-01-31 15:00:00-06,0.3768166666666666,80.93,0.01,1.65,600.888,0,209.046,550.913,0.39025,0.18406666666666663
8838,2016-01-31 16:00:00-06,0.38811666666666655,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.3339,0.2442166666666666
8850,2016-01-31 17:00:00-06,0.5453166666666666,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.3424,0.2622333333333333
8862,2016-01-31 18:00:00-06,1.090566666666667,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,0.3258833333333333,0.3587166666666666
8874,2016-01-31 19:00:00-06,1.3952666666666669,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,0.37216666666666653,0.5685
8886,2016-01-31 20:00:00-06,0.88835,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,0.3932833333333333,0.3470666666666666
8898,2016-01-31 21:00:00-06,0.6860666666666666,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,0.1733333333333333,0.2173
8910,2016-01-31 22:00:00-06,0.64645,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,0.20053333333333329,0.21608333333333327
8922,2016-01-31 23:00:00-06,0.5387666666666666,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,0.2255833333333333,0.19363333333333327
8934,2016-02-01 00:00:00-06,0.4800833333333332,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.20775,0.19421666666666665
8946,2016-02-01 01:00:00-06,0.2777333333333333,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.1931,0.17036666666666664
8958,2016-02-01 02:00:00-06,0.2636,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.21168333333333328,0.21526666666666666
8970,2016-02-01 03:00:00-06,0.2438333333333333,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.1654,0.18683333333333327
8982,2016-02-01 04:00:00-06,0.46605,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,0.18041666666666661,0.27805
8994,2016-02-01 05:00:00-06,0.31885,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.16296666666666665,0.2989833333333333
9006,2016-02-01 06:00:00-06,0.2646,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.21175,0.21733333333333327
9018,2016-02-01 07:00:00-06,0.1983,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,0.3337333333333333,0.146
9030,2016-02-01 08:00:00-06,0.20925,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,0.346,0.2713166666666666
9042,2016-02-01 09:00:00-06,0.21943333333333329,57.05,0.62,3.05,291.15,1,8.29157,248.423,0.23605,0.4764166666666666
9054,2016-02-01 10:00:00-06,0.4956666666666666,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,0.88675,0.58755
9066,2016-02-01 11:00:00-06,0.2261,63.38,0.76,4.73,663.888,1,42.2416,360.561,0.38121666666666654,0.3341166666666666
