,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
8,2016-01-01 00:00:00-06,0.14436666666666664,47.22,0.96,8.09,-1.7026,1
20,2016-01-01 01:00:00-06,0.21076666666666666,46.5,1.0,8.22,-1.65152,1
32,2016-01-01 02:00:00-06,0.1226333333333333,46.04,1.0,8.74,-1.7025700000000001,1
44,2016-01-01 03:00:00-06,0.31955,45.34,1.0,9.31,-1.91251,1
56,2016-01-01 04:00:00-06,0.12846666666666665,44.49,1.0,8.84,-2.3949700000000003,1
68,2016-01-01 05:00:00-06,0.1262833333333333,43.88,0.98,8.61,-1.3622100000000001,1
80,2016-01-01 06:00:00-06,0.13061666666666666,42.92,0.91,8.78,-1.71973,1
92,2016-01-01 07:00:00-06,0.19458333333333327,42.73,1.0,8.86,-2.35532,1
104,2016-01-01 08:00:00-06,0.3157,42.59,1.0,9.39,8.30918,1
116,2016-01-01 09:00:00-06,1.8911666666666669,43.12,1.0,9.87,39.4862,1
128,2016-01-01 10:00:00-06,2.56485,43.68,0.98,9.9,132.175,1
140,2016-01-01 11:00:00-06,0.8089666666666666,44.52,0.92,9.26,108.83,1
152,2016-01-01 12:00:00-06,0.5482666666666666,45.93,0.97,8.81,85.2728,1
164,2016-01-01 13:00:00-06,0.21,45.49,0.97,7.7,93.8208,1
176,2016-01-01 14:00:00-06,0.5569833333333332,46.11,0.99,8.1,99.4203,1
188,2016-01-01 15:00:00-06,0.4284833333333333,46.35,0.8,8.12,209.046,1
200,2016-01-01 16:00:00-06,1.4837166666666668,45.78,0.93,7.51,19.3617,1
212,2016-01-01 17:00:00-06,0.5834,45.16,0.97,6.56,8.87914,1
224,2016-01-01 18:00:00-06,2.491033333333333,44.63,1.0,6.59,-1.70317,1
236,2016-01-01 19:00:00-06,0.44776666666666654,44.79,1.0,6.3,-2.0441,1
248,2016-01-01 20:00:00-06,1.9435666666666669,44.6,1.0,5.94,-2.23153,1
260,2016-01-01 21:00:00-06,0.41351666666666653,44.5,1.0,6.1,-2.17475,1
272,2016-01-01 22:00:00-06,3.6402,44.18,1.0,5.63,-2.01009,1
284,2016-01-01 23:00:00-06,0.19011666666666666,44.02,1.0,5.02,-1.78865,1
296,2016-01-02 00:00:00-06,0.3248,43.86,1.0,5.13,-1.9477400000000002,0
308,2016-01-02 01:00:00-06,0.20718333333333327,43.63,0.95,5.1,-2.0442,0
320,2016-01-02 02:00:00-06,0.12485,43.31,0.9,5.04,-2.03852,0
332,2016-01-02 03:00:00-06,0.1241833333333333,43.17,0.8,4.81,-2.04445,0
344,2016-01-02 04:00:00-06,0.3208,42.76,0.91,3.62,-1.70373,0
356,2016-01-02 05:00:00-06,0.12271666666666665,43.34,0.96,4.56,-1.70375,0
368,2016-01-02 06:00:00-06,0.13991666666666666,43.16,1.0,3.72,-2.0445,0
380,2016-01-02 07:00:00-06,0.18896666666666664,43.13,0.95,3.47,-2.3000599999999998,0
