,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
7,2016-01-01 00:00:00-06,0.8425166666666666,47.22,0.96,8.09,-1.7026,1
19,2016-01-01 01:00:00-06,0.7052666666666666,46.5,1.0,8.22,-1.65152,1
31,2016-01-01 02:00:00-06,0.68725,46.04,1.0,8.74,-1.7025700000000001,1
43,2016-01-01 03:00:00-06,0.8265666666666666,45.34,1.0,9.31,-1.91251,1
55,2016-01-01 04:00:00-06,3.976083333333333,44.49,1.0,8.84,-2.3949700000000003,1
67,2016-01-01 05:00:00-06,1.2507833333333331,43.88,0.98,8.61,-1.3622100000000001,1
79,2016-01-01 06:00:00-06,0.6685333333333332,42.92,0.91,8.78,-1.71973,1
91,2016-01-01 07:00:00-06,0.72435,42.73,1.0,8.86,-2.35532,1
103,2016-01-01 08:00:00-06,1.1319,42.59,1.0,9.39,8.30918,1
115,2016-01-01 09:00:00-06,1.1461333333333332,43.12,1.0,9.87,39.4862,1
127,2016-01-01 10:00:00-06,1.1758333333333333,43.68,0.98,9.9,132.175,1
139,2016-01-01 11:00:00-06,0.8153833333333331,44.52,0.92,9.26,108.83,1
151,2016-01-01 12:00:00-06,0.7310666666666665,45.93,0.97,8.81,85.2728,1
163,2016-01-01 13:00:00-06,1.32085,45.49,0.97,7.7,93.8208,1
175,2016-01-01 14:00:00-06,1.1721833333333331,46.11,0.99,8.1,99.4203,1
187,2016-01-01 15:00:00-06,1.1067333333333331,46.35,0.8,8.12,209.046,1
199,2016-01-01 16:00:00-06,1.4394166666666668,45.78,0.93,7.51,19.3617,1
211,2016-01-01 17:00:00-06,1.690583333333333,45.16,0.97,6.56,8.87914,1
223,2016-01-01 18:00:00-06,2.1761166666666667,44.63,1.0,6.59,-1.70317,1
235,2016-01-01 19:00:00-06,2.04135,44.79,1.0,6.3,-2.0441,1
247,2016-01-01 20:00:00-06,1.970783333333333,44.6,1.0,5.94,-2.23153,1
259,2016-01-01 21:00:00-06,2.060283333333333,44.5,1.0,6.1,-2.17475,1
271,2016-01-01 22:00:00-06,1.6838,44.18,1.0,5.63,-2.01009,1
283,2016-01-01 23:00:00-06,0.9221833333333332,44.02,1.0,5.02,-1.78865,1
295,2016-01-02 00:00:00-06,0.7835,43.86,1.0,5.13,-1.9477400000000002,0
307,2016-01-02 01:00:00-06,0.72875,43.63,0.95,5.1,-2.0442,0
319,2016-01-02 02:00:00-06,0.68995,43.31,0.9,5.04,-2.03852,0
331,2016-01-02 03:00:00-06,0.6815166666666665,43.17,0.8,4.81,-2.04445,0
343,2016-01-02 04:00:00-06,0.6963166666666666,42.76,0.91,3.62,-1.70373,0
355,2016-01-02 05:00:00-06,1.9683833333333332,43.34,0.96,4.56,-1.70375,0
367,2016-01-02 06:00:00-06,0.6839333333333332,43.16,1.0,3.72,-2.0445,0
379,2016-01-02 07:00:00-06,0.7002666666666666,43.13,0.95,3.47,-2.3000599999999998,0
391,2016-01-02 08:00:00-06,1.0188,42.82,0.82,3.6,0.834837,0
403,2016-01-02 09:00:00-06,1.2656166666666668,43.91,0.88,3.65,8.29157,0
415,2016-01-02 10:00:00-06,1.0994,44.81,0.89,4.14,13.5164,0
427,2016-01-02 11:00:00-06,1.19505,45.84,0.89,3.61,42.2416,0
439,2016-01-02 12:00:00-06,1.3415333333333332,46.48,0.88,3.53,60.1026,0
451,2016-01-02 13:00:00-06,1.2596833333333333,46.94,0.83,3.03,65.9975,0
463,2016-01-02 14:00:00-06,1.0314166666666669,47.26,0.74,3.22,36.5113,0
475,2016-01-02 15:00:00-06,0.9112166666666666,47.76,0.71,2.99,47.8015,0
487,2016-01-02 16:00:00-06,0.9099333333333331,47.1,0.7,2.88,11.0005,0
499,2016-01-02 17:00:00-06,1.1136166666666667,46.45,0.88,2.17,21.1719,0
511,2016-01-02 18:00:00-06,1.47495,44.25,0.91,1.89,-1.70375,0
523,2016-01-02 19:00:00-06,1.5048333333333332,43.67,0.8,1.9,-1.87412,0
535,2016-01-02 20:00:00-06,1.2927833333333332,42.88,0.79,2.08,-1.6128799999999999,0
547,2016-01-02 21:00:00-06,1.14235,42.91,0.82,0.66,-1.26645,0
559,2016-01-02 22:00:00-06,1.0830333333333333,42.56,0.97,1.99,-1.2891700000000001,0
571,2016-01-02 23:00:00-06,0.9997833333333332,43.0,0.82,2.3,-1.363,0
583,2016-01-03 00:00:00-06,0.69415,42.3,0.9,2.94,-1.363,0
595,2016-01-03 01:00:00-06,0.6739333333333332,42.06,0.85,3.67,-1.363,0
607,2016-01-03 02:00:00-06,0.65945,41.63,0.81,3.06,-1.29485,0
619,2016-01-03 03:00:00-06,0.6865666666666665,41.72,0.75,2.49,-0.976816,0
631,2016-01-03 04:00:00-06,2.975083333333333,41.8,0.67,3.05,-1.02225,0
643,2016-01-03 05:00:00-06,1.1508166666666668,41.96,0.85,3.35,-1.0563200000000001,0
655,2016-01-03 06:00:00-06,0.6645833333333332,42.54,0.89,3.14,-1.36289,0
667,2016-01-03 07:00:00-06,0.7586666666666666,42.81,0.83,2.63,-1.7034599999999998,0
679,2016-01-03 08:00:00-06,0.7484666666666666,42.89,0.56,2.9,26.6194,0
691,2016-01-03 09:00:00-06,0.9612833333333332,45.2,0.19,4.89,109.61200000000001,0
703,2016-01-03 10:00:00-06,0.8484833333333331,48.85,0.69,4.59,233.541,0
715,2016-01-03 11:00:00-06,0.7928333333333331,52.0,0.63,4.65,390.98199999999997,0
727,2016-01-03 12:00:00-06,1.1258,54.16,0.59,4.61,306.04200000000003,0
739,2016-01-03 13:00:00-06,1.0777333333333332,57.04,0.55,4.52,192.72099999999998,0
751,2016-01-03 14:00:00-06,1.0378,58.33,0.42,5.15,142.53799999999998,0
763,2016-01-03 15:00:00-06,1.0161,59.5,0.04,4.18,245.80200000000002,0
775,2016-01-03 16:00:00-06,1.2362166666666667,59.63,0.04,4.01,161.54399999999998,0
787,2016-01-03 17:00:00-06,2.093166666666667,58.07,0.04,3.07,45.0467,0
799,2016-01-03 18:00:00-06,1.9806,53.78,0.02,2.14,-0.58436,0
811,2016-01-03 19:00:00-06,1.4823,50.92,0.0,2.25,-2.0481,0
823,2016-01-03 20:00:00-06,1.9027,47.05,0.0,2.25,-2.72382,0
835,2016-01-03 21:00:00-06,3.050133333333333,43.99,0.0,1.77,-2.72428,0
847,2016-01-03 22:00:00-06,0.8151166666666666,41.97,0.0,3.05,-2.71922,0
859,2016-01-03 23:00:00-06,0.6828666666666666,40.57,0.0,3.07,-2.72507,0
871,2016-01-04 00:00:00-06,0.771733333333333,42.08,0.12,2.89,-2.7253,1
883,2016-01-04 01:00:00-06,0.7226166666666665,41.0,0.13,3.31,-2.47002,1
895,2016-01-04 02:00:00-06,0.6680833333333333,41.23,0.13,3.16,-2.72553,1
907,2016-01-04 03:00:00-06,0.6678833333333332,40.04,0.13,2.39,-2.72572,1
919,2016-01-04 04:00:00-06,0.6668333333333332,38.93,0.13,3.0,-2.68624,1
931,2016-01-04 05:00:00-06,1.4775833333333332,38.64,0.13,4.52,-2.37957,1
943,2016-01-04 06:00:00-06,0.6908333333333332,37.6,0.13,3.44,-2.41364,1
955,2016-01-04 07:00:00-06,0.9258666666666664,37.06,0.13,3.32,-2.1978400000000002,1
967,2016-01-04 08:00:00-06,0.7134166666666666,37.45,0.13,3.98,48.4709,1
979,2016-01-04 09:00:00-06,0.6942166666666666,41.22,0.13,3.24,152.738,1
991,2016-01-04 10:00:00-06,0.6939833333333332,46.07,0.13,3.66,236.778,1
1003,2016-01-04 11:00:00-06,0.6915333333333332,49.51,0.12,3.25,500.024,1
1015,2016-01-04 12:00:00-06,0.6833,53.19,0.12,4.05,683.6569999999999,1
1027,2016-01-04 13:00:00-06,0.6908833333333332,55.1,0.14,3.77,719.077,1
1039,2016-01-04 14:00:00-06,0.7849,55.87,0.16,3.38,654.467,1
1051,2016-01-04 15:00:00-06,0.7215833333333332,55.98,0.14,4.38,525.263,1
1063,2016-01-04 16:00:00-06,0.6997,55.15,0.16,4.37,352.059,1
1075,2016-01-04 17:00:00-06,0.69335,53.42,0.18,4.18,137.42700000000002,1
1087,2016-01-04 18:00:00-06,1.3334,50.15,0.12,3.36,2.7545599999999997,1
1099,2016-01-04 19:00:00-06,1.4461833333333332,47.16,0.04,3.08,-2.72211,1
1111,2016-01-04 20:00:00-06,1.3305,45.16,0.03,2.64,-2.72315,1
1123,2016-01-04 21:00:00-06,0.91645,42.65,0.03,2.53,-2.72364,1
1135,2016-01-04 22:00:00-06,0.8225833333333331,41.59,0.02,1.51,-2.04311,1
1147,2016-01-04 23:00:00-06,0.70805,39.51,0.03,1.63,-2.34958,1
1159,2016-01-05 00:00:00-06,0.68835,39.7,0.35,2.35,-2.7185900000000003,1
1171,2016-01-05 01:00:00-06,1.484816666666667,38.4,0.42,2.2,-2.38397,1
1183,2016-01-05 02:00:00-06,3.996483333333333,37.24,0.49,1.68,-2.60576,1
1195,2016-01-05 03:00:00-06,4.051,36.73,0.55,1.73,-1.42499,1
1207,2016-01-05 04:00:00-06,4.078316666666667,36.23,0.62,2.05,-1.70317,1
1219,2016-01-05 05:00:00-06,1.6516166666666667,36.28,0.68,2.46,-1.3623299999999998,1
1231,2016-01-05 06:00:00-06,0.8176666666666667,36.37,0.7,2.75,-1.9921099999999998,1
1243,2016-01-05 07:00:00-06,1.17805,36.95,0.61,3.3,-1.7026,1
1255,2016-01-05 08:00:00-06,0.6931333333333332,38.29,0.46,3.76,21.3903,1
1267,2016-01-05 09:00:00-06,0.6670833333333333,40.72,0.37,5.21,71.5287,1
1279,2016-01-05 10:00:00-06,0.6866166666666667,43.42,0.37,5.16,177.791,1
1291,2016-01-05 11:00:00-06,0.7028,46.85,0.42,5.01,159.803,1
1303,2016-01-05 12:00:00-06,0.7024333333333332,50.21,0.46,4.18,207.55200000000002,1
1315,2016-01-05 13:00:00-06,0.68225,52.54,0.45,4.34,142.982,1
1327,2016-01-05 14:00:00-06,0.6748,54.51,0.41,4.5,107.926,1
1339,2016-01-05 15:00:00-06,0.6836,55.28,0.45,4.86,82.9796,1
1351,2016-01-05 16:00:00-06,0.7070333333333332,55.2,0.72,4.76,42.1758,1
1363,2016-01-05 17:00:00-06,0.7866666666666666,54.2,0.79,4.1,16.2036,1
1375,2016-01-05 18:00:00-06,1.295383333333333,52.72,0.93,3.83,-1.70087,1
1387,2016-01-05 19:00:00-06,1.2304666666666668,51.24,0.93,4.46,-2.12608,1
1399,2016-01-05 20:00:00-06,0.9855166666666664,50.14,0.73,4.84,-2.38124,1
1411,2016-01-05 21:00:00-06,0.8662833333333331,49.52,0.88,4.84,-1.70113,1
1423,2016-01-05 22:00:00-06,1.526,48.89,0.97,4.51,-1.9450900000000002,1
1435,2016-01-05 23:00:00-06,1.2718166666666668,48.64,0.97,4.62,-1.8884,1
1447,2016-01-06 00:00:00-06,0.7269333333333332,47.96,0.89,3.5,-1.8602299999999998,1
1459,2016-01-06 01:00:00-06,0.71885,47.53,0.76,3.35,-1.85457,1
1471,2016-01-06 02:00:00-06,1.5218166666666668,47.01,0.86,2.92,-2.3820200000000002,1
1483,2016-01-06 03:00:00-06,4.05785,46.87,0.84,2.91,-2.4841,1
1495,2016-01-06 04:00:00-06,4.061566666666667,46.57,0.88,2.73,-2.13821,1
1507,2016-01-06 05:00:00-06,2.1861333333333333,46.04,0.86,2.14,-1.72417,1
1519,2016-01-06 06:00:00-06,0.8029166666666666,46.06,1.0,1.78,-2.3822900000000002,1
1531,2016-01-06 07:00:00-06,1.25805,46.13,0.88,2.56,-1.7698,1
1543,2016-01-06 08:00:00-06,0.7156833333333332,46.35,0.72,2.47,35.4754,1
1555,2016-01-06 09:00:00-06,0.6843833333333332,47.15,0.53,2.94,52.6909,1
1567,2016-01-06 10:00:00-06,0.6852,48.39,0.58,3.0,487.342,1
1579,2016-01-06 11:00:00-06,0.6817833333333332,50.01,0.69,3.62,384.32199999999995,1
1591,2016-01-06 12:00:00-06,0.6867666666666666,51.39,0.75,3.08,335.901,1
1603,2016-01-06 13:00:00-06,0.6795,52.32,0.7,3.9,155.946,1
1615,2016-01-06 14:00:00-06,0.6750833333333331,53.05,0.57,2.87,186.982,1
1627,2016-01-06 15:00:00-06,0.6751833333333332,53.7,0.52,3.16,396.49699999999996,1
1639,2016-01-06 16:00:00-06,0.7164833333333332,53.82,0.6,3.41,200.68599999999998,1
1651,2016-01-06 17:00:00-06,0.6954666666666666,53.42,0.67,2.15,88.9366,1
1663,2016-01-06 18:00:00-06,0.9490333333333332,52.75,0.69,2.41,-0.753328,1
1675,2016-01-06 19:00:00-06,1.2963333333333331,52.42,1.0,1.77,-2.9064799999999997,1
1687,2016-01-06 20:00:00-06,1.7851833333333331,52.46,1.0,1.83,-2.7198700000000002,1
1699,2016-01-06 21:00:00-06,1.6715833333333332,52.59,1.0,0.64,-2.69215,1
1711,2016-01-06 22:00:00-06,1.5923833333333333,52.29,1.0,1.6,-2.7204900000000003,1
1723,2016-01-06 23:00:00-06,0.9294166666666664,52.21,1.0,1.61,-2.60753,1
1735,2016-01-07 00:00:00-06,0.7042,52.39,0.88,1.02,-2.7212400000000003,1
1747,2016-01-07 01:00:00-06,0.6669,51.47,0.82,1.87,-2.38121,1
1759,2016-01-07 02:00:00-06,1.0851833333333332,51.36,0.76,1.79,-1.8879599999999999,1
1771,2016-01-07 03:00:00-06,4.0127,51.22,0.71,1.35,-1.7122,1
1783,2016-01-07 04:00:00-06,4.020433333333333,51.08,0.72,1.35,-1.72354,1
1795,2016-01-07 05:00:00-06,2.076433333333333,50.65,0.75,1.56,-1.8766200000000002,1
1807,2016-01-07 06:00:00-06,0.7034166666666666,50.08,0.81,2.32,-2.38119,1
1819,2016-01-07 07:00:00-06,0.9782333333333332,49.34,0.75,1.36,-2.38082,1
1831,2016-01-07 08:00:00-06,1.0271,49.84,0.72,2.78,21.9625,1
1843,2016-01-07 09:00:00-06,1.1081166666666669,51.06,0.76,3.14,113.986,1
1855,2016-01-07 10:00:00-06,1.99015,53.57,0.74,2.92,145.411,1
1867,2016-01-07 11:00:00-06,1.9704,56.43,0.57,2.98,129.97,1
1879,2016-01-07 12:00:00-06,1.42975,60.28,0.18,1.86,361.695,1
1891,2016-01-07 13:00:00-06,1.8518,65.13,0.16,1.92,209.547,1
1903,2016-01-07 14:00:00-06,0.76805,68.19,0.12,2.19,567.729,1
1915,2016-01-07 15:00:00-06,0.74135,70.23,0.09,2.94,526.735,1
1927,2016-01-07 16:00:00-06,2.093833333333333,69.54,0.08,2.6,352.14099999999996,1
1939,2016-01-07 17:00:00-06,2.5778166666666666,67.18,0.1,3.99,151.954,1
1951,2016-01-07 18:00:00-06,2.18195,62.73,0.1,3.75,-0.26621999999999996,1
1963,2016-01-07 19:00:00-06,1.534166666666667,59.93,0.0,3.54,-3.1560900000000003,1
1975,2016-01-07 20:00:00-06,1.037483333333333,56.88,0.0,2.93,-3.20814,1
1987,2016-01-07 21:00:00-06,0.8393,55.24,0.0,2.66,-3.39605,1
1999,2016-01-07 22:00:00-06,0.7314666666666665,54.02,0.0,2.04,-2.97689,1
