"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8650,2016-01-31 00:00:00-06,0.26235,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.4608666666666666,0.4619166666666666
8662,2016-01-31 01:00:00-06,0.2873333333333333,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.3949833333333333,0.4515166666666666
8674,2016-01-31 02:00:00-06,0.28625,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.3776,0.5006333333333332
8686,2016-01-31 03:00:00-06,0.2534666666666666,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.4464166666666666,0.4660333333333332
8698,2016-01-31 04:00:00-06,0.2679333333333333,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.4436833333333333,0.444
8710,2016-01-31 05:00:00-06,0.2623,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.589,0.48645
8722,2016-01-31 06:00:00-06,0.2564166666666666,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.8314666666666666,0.4822833333333332
8734,2016-01-31 07:00:00-06,0.3073666666666666,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.4731833333333332,0.7279
8746,2016-01-31 08:00:00-06,0.5786,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.5491666666666666,0.8581666666666666
8758,2016-01-31 09:00:00-06,0.3266833333333333,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,1.0195,0.8073833333333331
8770,2016-01-31 10:00:00-06,0.3081,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,0.9142833333333332,1.2122333333333333
8782,2016-01-31 11:00:00-06,0.8514166666666666,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.87875,0.3539333333333333
8794,2016-01-31 12:00:00-06,0.3400833333333333,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,0.7446166666666666,0.4709333333333332
8806,2016-01-31 13:00:00-06,0.2483666666666666,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.69055,0.4635666666666666
8818,2016-01-31 14:00:00-06,0.40445,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.33125,0.70115
8830,2016-01-31 15:00:00-06,0.2907166666666666,80.93,0.01,1.65,600.888,0,209.046,550.913,0.34555,0.4642166666666666
8842,2016-01-31 16:00:00-06,2.5034666666666667,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.5299666666666666,0.3993
8854,2016-01-31 17:00:00-06,0.2885,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.5728166666666666,0.24825
8866,2016-01-31 18:00:00-06,0.8458833333333331,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,0.5021833333333332,0.8392666666666666
8878,2016-01-31 19:00:00-06,0.615,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,1.0174833333333333,0.6056166666666666
8890,2016-01-31 20:00:00-06,0.4918,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,0.6103166666666666,0.3963333333333333
8902,2016-01-31 21:00:00-06,0.40925,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,0.6780166666666666,0.3656666666666666
8914,2016-01-31 22:00:00-06,0.27795,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,0.6602166666666666,0.2470333333333333
8926,2016-01-31 23:00:00-06,0.26915,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,0.604,0.2484166666666666
8938,2016-02-01 00:00:00-06,0.25945,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.5076,0.23765
8950,2016-02-01 01:00:00-06,0.2771166666666666,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.41346666666666654,0.2344666666666666
8962,2016-02-01 02:00:00-06,0.2667,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.4255333333333333,0.3453833333333333
8974,2016-02-01 03:00:00-06,0.25985,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.41081666666666655,0.3181166666666666
8986,2016-02-01 04:00:00-06,0.2698333333333333,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,0.3990333333333333,0.2981166666666666
8998,2016-02-01 05:00:00-06,0.5402666666666666,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.41631666666666656,0.7573666666666666
9010,2016-02-01 06:00:00-06,0.8097666666666666,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.4322166666666665,0.8462333333333331
9022,2016-02-01 07:00:00-06,0.4156,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,0.6058,0.5121
9034,2016-02-01 08:00:00-06,0.3148333333333333,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,0.7074666666666666,0.4361833333333333
9046,2016-02-01 09:00:00-06,0.2647333333333333,57.05,0.62,3.05,291.15,1,8.29157,248.423,0.8577166666666666,0.3634
