"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8651,2016-01-31 00:00:00-06,0.8709333333333331,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.947,0.8350666666666666
8663,2016-01-31 01:00:00-06,0.8891333333333331,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,1.0016666666666665,0.8728666666666666
8675,2016-01-31 02:00:00-06,0.8730833333333331,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.9432333333333331,0.85875
8687,2016-01-31 03:00:00-06,0.9261833333333332,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.9790166666666664,0.83055
8699,2016-01-31 04:00:00-06,0.82575,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,1.0234166666666669,0.8848666666666666
8711,2016-01-31 05:00:00-06,0.9531,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,1.0131166666666664,0.8614666666666666
8723,2016-01-31 06:00:00-06,1.15615,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.9911833333333332,0.95865
8735,2016-01-31 07:00:00-06,1.3397166666666669,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.9743666666666664,1.3775
8747,2016-01-31 08:00:00-06,0.9366,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.8981166666666666,3.0398
8759,2016-01-31 09:00:00-06,1.36825,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,0.8942166666666665,2.0405333333333333
8771,2016-01-31 10:00:00-06,3.20355,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,0.8639166666666666,1.1755666666666669
8783,2016-01-31 11:00:00-06,1.0195333333333332,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.8724333333333331,0.8446333333333331
8795,2016-01-31 12:00:00-06,1.0358,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,0.8989666666666666,0.8067166666666666
8807,2016-01-31 13:00:00-06,0.8092833333333331,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.8863,1.2780333333333331
8819,2016-01-31 14:00:00-06,0.9056166666666666,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.8736666666666666,1.13615
8831,2016-01-31 15:00:00-06,3.332466666666667,80.93,0.01,1.65,600.888,0,209.046,550.913,0.8533166666666666,2.784116666666667
8843,2016-01-31 16:00:00-06,2.338883333333333,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.8923,2.0678666666666667
8855,2016-01-31 17:00:00-06,1.5766666666666669,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.9334166666666665,1.25865
8867,2016-01-31 18:00:00-06,2.53445,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,0.9132,1.28245
