"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8644,2016-01-31 00:00:00-06,0.42995,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.5950833333333332,0.5039666666666666
8656,2016-01-31 01:00:00-06,0.3508,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.4814166666666666,0.43266666666666653
8668,2016-01-31 02:00:00-06,0.32975,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.331,0.8490833333333331
8680,2016-01-31 03:00:00-06,0.40415,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.3421833333333333,0.3291
8692,2016-01-31 04:00:00-06,0.42191666666666655,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,1.0249666666666668,0.4194
8704,2016-01-31 05:00:00-06,0.3295166666666666,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.38251666666666656,0.42945
8716,2016-01-31 06:00:00-06,0.3289833333333333,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.3280666666666666,0.864
8728,2016-01-31 07:00:00-06,0.47995,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.568,0.43366666666666653
8740,2016-01-31 08:00:00-06,0.6113333333333332,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.9090833333333332,0.6533833333333332
8752,2016-01-31 09:00:00-06,0.6030666666666666,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,0.59485,0.6536666666666666
8764,2016-01-31 10:00:00-06,0.4462333333333333,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,0.5642666666666666,0.9902
8776,2016-01-31 11:00:00-06,0.5490833333333331,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.8727666666666666,0.96245
8788,2016-01-31 12:00:00-06,1.0848166666666668,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,1.3153666666666668,0.9832
8800,2016-01-31 13:00:00-06,0.7115333333333332,77.0,0.05,4.22,782.034,0,93.8208,741.559,1.3828833333333332,0.56465
8812,2016-01-31 14:00:00-06,0.6958166666666666,79.65,0.03,3.05,724.258,0,99.4203,678.543,1.3219666666666667,0.47065
8824,2016-01-31 15:00:00-06,1.0842833333333333,80.93,0.01,1.65,600.888,0,209.046,550.913,1.2910666666666668,0.5519333333333332
8836,2016-01-31 16:00:00-06,2.0118666666666667,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.7035666666666666,1.3578
8848,2016-01-31 17:00:00-06,1.24125,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.47865,0.62015
8860,2016-01-31 18:00:00-06,1.3801166666666669,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,0.7026,0.5898666666666667
8872,2016-01-31 19:00:00-06,1.9901666666666669,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,0.6544833333333332,0.7223666666666665
8884,2016-01-31 20:00:00-06,1.8349833333333332,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,1.0621166666666668,0.7321
8896,2016-01-31 21:00:00-06,0.79685,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,1.30135,0.7422833333333331
8908,2016-01-31 22:00:00-06,0.47775,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,0.6812833333333332,0.5238666666666666
8920,2016-01-31 23:00:00-06,0.4512833333333333,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,0.5912166666666666,0.5377833333333332
8932,2016-02-01 00:00:00-06,0.42241666666666655,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.5621166666666666,0.38451666666666656
8944,2016-02-01 01:00:00-06,0.44145,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.58585,0.33225
8956,2016-02-01 02:00:00-06,0.4378166666666666,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.4713833333333332,0.3873833333333333
8968,2016-02-01 03:00:00-06,0.4383333333333333,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.7383833333333331,0.44475
8980,2016-02-01 04:00:00-06,0.6236833333333331,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,0.3299166666666666,0.8786
8992,2016-02-01 05:00:00-06,0.5491166666666666,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.4292166666666665,0.3293166666666666
9004,2016-02-01 06:00:00-06,0.52455,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.43561666666666654,0.49825
9016,2016-02-01 07:00:00-06,0.5008833333333332,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,0.7612666666666666,0.52605
9028,2016-02-01 08:00:00-06,0.34635,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,0.3435833333333333,0.5566
9040,2016-02-01 09:00:00-06,0.42686666666666656,57.05,0.62,3.05,291.15,1,8.29157,248.423,0.4652333333333332,0.336
9052,2016-02-01 10:00:00-06,0.38265,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,0.6076166666666666,0.48025
9064,2016-02-01 11:00:00-06,0.42411666666666653,63.38,0.76,4.73,663.888,1,42.2416,360.561,0.70565,0.5584
