"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8648,2016-01-31 00:00:00-06,0.13031666666666664,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.14436666666666664,0.37746666666666656
8660,2016-01-31 01:00:00-06,0.28895,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.21076666666666666,1.5757333333333332
8672,2016-01-31 02:00:00-06,0.1097,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.1226333333333333,0.54425
8684,2016-01-31 03:00:00-06,0.08836666666666665,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.31955,1.1656166666666667
8696,2016-01-31 04:00:00-06,0.1754333333333333,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.12846666666666665,1.5431166666666667
8708,2016-01-31 05:00:00-06,0.124,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.1262833333333333,1.6945333333333332
8720,2016-01-31 06:00:00-06,0.2795333333333333,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.13061666666666666,0.1573
8732,2016-01-31 07:00:00-06,0.08821666666666665,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.19458333333333327,2.3855833333333334
8744,2016-01-31 08:00:00-06,0.0882,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.3157,0.09115
8756,2016-01-31 09:00:00-06,0.08785,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,1.8911666666666669,2.1345666666666667
8768,2016-01-31 10:00:00-06,0.3034,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,2.56485,0.09853333333333332
8780,2016-01-31 11:00:00-06,0.6155166666666666,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.8089666666666666,0.3872
8792,2016-01-31 12:00:00-06,0.6243833333333332,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,0.5482666666666666,0.3699
8804,2016-01-31 13:00:00-06,0.74975,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.21,0.61335
8816,2016-01-31 14:00:00-06,0.9786833333333332,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.5569833333333332,0.4781666666666666
8828,2016-01-31 15:00:00-06,0.9144,80.93,0.01,1.65,600.888,0,209.046,550.913,0.4284833333333333,0.3188
8840,2016-01-31 16:00:00-06,0.7549166666666666,80.92,0.01,1.22,416.6,0,19.3617,387.267,1.4837166666666668,0.25605
8852,2016-01-31 17:00:00-06,0.4507333333333333,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.5834,0.4778333333333332
