,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
5,2016-01-01 00:00:00-06,0.85945,47.22,0.96,8.09,-1.7026,1
17,2016-01-01 01:00:00-06,0.8892333333333331,46.5,1.0,8.22,-1.65152,1
29,2016-01-01 02:00:00-06,0.9035833333333332,46.04,1.0,8.74,-1.7025700000000001,1
41,2016-01-01 03:00:00-06,0.8795,45.34,1.0,9.31,-1.91251,1
53,2016-01-01 04:00:00-06,0.8015333333333331,44.49,1.0,8.84,-2.3949700000000003,1
65,2016-01-01 05:00:00-06,0.7343833333333332,43.88,0.98,8.61,-1.3622100000000001,1
77,2016-01-01 06:00:00-06,1.1096333333333332,42.92,0.91,8.78,-1.71973,1
89,2016-01-01 07:00:00-06,0.5207333333333332,42.73,1.0,8.86,-2.35532,1
101,2016-01-01 08:00:00-06,0.3460166666666666,42.59,1.0,9.39,8.30918,1
113,2016-01-01 09:00:00-06,0.3367,43.12,1.0,9.87,39.4862,1
125,2016-01-01 10:00:00-06,0.43851666666666655,43.68,0.98,9.9,132.175,1
137,2016-01-01 11:00:00-06,0.6179333333333332,44.52,0.92,9.26,108.83,1
149,2016-01-01 12:00:00-06,1.3490666666666669,45.93,0.97,8.81,85.2728,1
161,2016-01-01 13:00:00-06,0.502,45.49,0.97,7.7,93.8208,1
173,2016-01-01 14:00:00-06,0.49925,46.11,0.99,8.1,99.4203,1
185,2016-01-01 15:00:00-06,0.5523833333333332,46.35,0.8,8.12,209.046,1
197,2016-01-01 16:00:00-06,0.5282,45.78,0.93,7.51,19.3617,1
209,2016-01-01 17:00:00-06,0.46325,45.16,0.97,6.56,8.87914,1
221,2016-01-01 18:00:00-06,2.577033333333333,44.63,1.0,6.59,-1.70317,1
233,2016-01-01 19:00:00-06,1.251183333333333,44.79,1.0,6.3,-2.0441,1
245,2016-01-01 20:00:00-06,3.2946166666666667,44.6,1.0,5.94,-2.23153,1
257,2016-01-01 21:00:00-06,0.99345,44.5,1.0,6.1,-2.17475,1
269,2016-01-01 22:00:00-06,1.8188333333333333,44.18,1.0,5.63,-2.01009,1
281,2016-01-01 23:00:00-06,1.048433333333333,44.02,1.0,5.02,-1.78865,1
293,2016-01-02 00:00:00-06,1.339883333333333,43.86,1.0,5.13,-1.9477400000000002,0
305,2016-01-02 01:00:00-06,0.3619666666666666,43.63,0.95,5.1,-2.0442,0
317,2016-01-02 02:00:00-06,0.2410166666666666,43.31,0.9,5.04,-2.03852,0
329,2016-01-02 03:00:00-06,0.43451666666666655,43.17,0.8,4.81,-2.04445,0
341,2016-01-02 04:00:00-06,0.4266666666666665,42.76,0.91,3.62,-1.70373,0
353,2016-01-02 05:00:00-06,0.33685,43.34,0.96,4.56,-1.70375,0
365,2016-01-02 06:00:00-06,0.2157,43.16,1.0,3.72,-2.0445,0
377,2016-01-02 07:00:00-06,0.2878333333333333,43.13,0.95,3.47,-2.3000599999999998,0
389,2016-01-02 08:00:00-06,0.2523666666666666,42.82,0.82,3.6,0.834837,0
401,2016-01-02 09:00:00-06,0.2468833333333333,43.91,0.88,3.65,8.29157,0
413,2016-01-02 10:00:00-06,0.3484333333333333,44.81,0.89,4.14,13.5164,0
425,2016-01-02 11:00:00-06,0.4286833333333333,45.84,0.89,3.61,42.2416,0
437,2016-01-02 12:00:00-06,0.4672333333333332,46.48,0.88,3.53,60.1026,0
449,2016-01-02 13:00:00-06,0.3435833333333333,46.94,0.83,3.03,65.9975,0
461,2016-01-02 14:00:00-06,1.0813,47.26,0.74,3.22,36.5113,0
473,2016-01-02 15:00:00-06,1.8175666666666668,47.76,0.71,2.99,47.8015,0
485,2016-01-02 16:00:00-06,1.1339333333333332,47.1,0.7,2.88,11.0005,0
497,2016-01-02 17:00:00-06,0.2678666666666666,46.45,0.88,2.17,21.1719,0
509,2016-01-02 18:00:00-06,0.2423166666666666,44.25,0.91,1.89,-1.70375,0
521,2016-01-02 19:00:00-06,0.3148333333333333,43.67,0.8,1.9,-1.87412,0
533,2016-01-02 20:00:00-06,0.2657,42.88,0.79,2.08,-1.6128799999999999,0
545,2016-01-02 21:00:00-06,1.3034,42.91,0.82,0.66,-1.26645,0
557,2016-01-02 22:00:00-06,0.7297,42.56,0.97,1.99,-1.2891700000000001,0
569,2016-01-02 23:00:00-06,0.7802666666666666,43.0,0.82,2.3,-1.363,0
581,2016-01-03 00:00:00-06,0.7357333333333332,42.3,0.9,2.94,-1.363,0
