,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
1,2016-01-01 00:00:00-06,2.5312333333333332,47.22,0.96,8.09,-1.7026,1
13,2016-01-01 01:00:00-06,2.80145,46.5,1.0,8.22,-1.65152,1
25,2016-01-01 02:00:00-06,2.37355,46.04,1.0,8.74,-1.7025700000000001,1
37,2016-01-01 03:00:00-06,2.680283333333333,45.34,1.0,9.31,-1.91251,1
49,2016-01-01 04:00:00-06,2.46595,44.49,1.0,8.84,-2.3949700000000003,1
61,2016-01-01 05:00:00-06,2.84095,43.88,0.98,8.61,-1.3622100000000001,1
73,2016-01-01 06:00:00-06,3.1529166666666666,42.92,0.91,8.78,-1.71973,1
85,2016-01-01 07:00:00-06,3.1008166666666668,42.73,1.0,8.86,-2.35532,1
97,2016-01-01 08:00:00-06,3.18905,42.59,1.0,9.39,8.30918,1
109,2016-01-01 09:00:00-06,3.50985,43.12,1.0,9.87,39.4862,1
121,2016-01-01 10:00:00-06,6.067133333333333,43.68,0.98,9.9,132.175,1
133,2016-01-01 11:00:00-06,7.387583333333333,44.52,0.92,9.26,108.83,1
145,2016-01-01 12:00:00-06,6.285616666666666,45.93,0.97,8.81,85.2728,1
157,2016-01-01 13:00:00-06,3.75885,45.49,0.97,7.7,93.8208,1
169,2016-01-01 14:00:00-06,3.5808666666666666,46.11,0.99,8.1,99.4203,1
181,2016-01-01 15:00:00-06,3.452383333333333,46.35,0.8,8.12,209.046,1
193,2016-01-01 16:00:00-06,3.73875,45.78,0.93,7.51,19.3617,1
205,2016-01-01 17:00:00-06,4.067233333333332,45.16,0.97,6.56,8.87914,1
217,2016-01-01 18:00:00-06,3.816483333333333,44.63,1.0,6.59,-1.70317,1
229,2016-01-01 19:00:00-06,4.226766666666666,44.79,1.0,6.3,-2.0441,1
241,2016-01-01 20:00:00-06,4.074333333333333,44.6,1.0,5.94,-2.23153,1
253,2016-01-01 21:00:00-06,3.6126166666666664,44.5,1.0,6.1,-2.17475,1
265,2016-01-01 22:00:00-06,4.100383333333332,44.18,1.0,5.63,-2.01009,1
277,2016-01-01 23:00:00-06,2.955033333333333,44.02,1.0,5.02,-1.78865,1
289,2016-01-02 00:00:00-06,3.5733333333333333,43.86,1.0,5.13,-1.9477400000000002,0
301,2016-01-02 01:00:00-06,3.3766333333333334,43.63,0.95,5.1,-2.0442,0
313,2016-01-02 02:00:00-06,3.2750166666666667,43.31,0.9,5.04,-2.03852,0
325,2016-01-02 03:00:00-06,3.2377,43.17,0.8,4.81,-2.04445,0
337,2016-01-02 04:00:00-06,3.454883333333333,42.76,0.91,3.62,-1.70373,0
349,2016-01-02 05:00:00-06,3.3681,43.34,0.96,4.56,-1.70375,0
361,2016-01-02 06:00:00-06,3.669933333333333,43.16,1.0,3.72,-2.0445,0
373,2016-01-02 07:00:00-06,4.238833333333333,43.13,0.95,3.47,-2.3000599999999998,0
385,2016-01-02 08:00:00-06,4.242016666666666,42.82,0.82,3.6,0.834837,0
397,2016-01-02 09:00:00-06,5.468533333333332,43.91,0.88,3.65,8.29157,0
409,2016-01-02 10:00:00-06,6.1455166666666665,44.81,0.89,4.14,13.5164,0
421,2016-01-02 11:00:00-06,6.870916666666666,45.84,0.89,3.61,42.2416,0
433,2016-01-02 12:00:00-06,4.444466666666666,46.48,0.88,3.53,60.1026,0
445,2016-01-02 13:00:00-06,3.5387,46.94,0.83,3.03,65.9975,0
457,2016-01-02 14:00:00-06,3.8666166666666664,47.26,0.74,3.22,36.5113,0
469,2016-01-02 15:00:00-06,3.4234666666666667,47.76,0.71,2.99,47.8015,0
481,2016-01-02 16:00:00-06,2.957533333333333,47.1,0.7,2.88,11.0005,0
493,2016-01-02 17:00:00-06,2.931216666666667,46.45,0.88,2.17,21.1719,0
505,2016-01-02 18:00:00-06,3.108716666666667,44.25,0.91,1.89,-1.70375,0
517,2016-01-02 19:00:00-06,3.2323833333333334,43.67,0.8,1.9,-1.87412,0
529,2016-01-02 20:00:00-06,3.0816833333333333,42.88,0.79,2.08,-1.6128799999999999,0
541,2016-01-02 21:00:00-06,4.179633333333332,42.91,0.82,0.66,-1.26645,0
553,2016-01-02 22:00:00-06,3.0725333333333333,42.56,0.97,1.99,-1.2891700000000001,0
565,2016-01-02 23:00:00-06,3.005983333333333,43.0,0.82,2.3,-1.363,0
577,2016-01-03 00:00:00-06,3.7397,42.3,0.9,2.94,-1.363,0
589,2016-01-03 01:00:00-06,3.2812,42.06,0.85,3.67,-1.363,0
601,2016-01-03 02:00:00-06,3.226666666666667,41.63,0.81,3.06,-1.29485,0
613,2016-01-03 03:00:00-06,3.8723666666666663,41.72,0.75,2.49,-0.976816,0
625,2016-01-03 04:00:00-06,3.4862,41.8,0.67,3.05,-1.02225,0
637,2016-01-03 05:00:00-06,3.3096,41.96,0.85,3.35,-1.0563200000000001,0
649,2016-01-03 06:00:00-06,3.7593833333333326,42.54,0.89,3.14,-1.36289,0
661,2016-01-03 07:00:00-06,3.9940666666666664,42.81,0.83,2.63,-1.7034599999999998,0
673,2016-01-03 08:00:00-06,3.473466666666667,42.89,0.56,2.9,26.6194,0
685,2016-01-03 09:00:00-06,5.525033333333333,45.2,0.19,4.89,109.61200000000001,0
697,2016-01-03 10:00:00-06,6.006283333333333,48.85,0.69,4.59,233.541,0
709,2016-01-03 11:00:00-06,9.30435,52.0,0.63,4.65,390.98199999999997,0
721,2016-01-03 12:00:00-06,5.38355,54.16,0.59,4.61,306.04200000000003,0
733,2016-01-03 13:00:00-06,2.16555,57.04,0.55,4.52,192.72099999999998,0
745,2016-01-03 14:00:00-06,1.5031666666666668,58.33,0.42,5.15,142.53799999999998,0
757,2016-01-03 15:00:00-06,1.36175,59.5,0.04,4.18,245.80200000000002,0
769,2016-01-03 16:00:00-06,0.9595166666666664,59.63,0.04,4.01,161.54399999999998,0
781,2016-01-03 17:00:00-06,0.9850666666666664,58.07,0.04,3.07,45.0467,0
793,2016-01-03 18:00:00-06,1.3331833333333332,53.78,0.02,2.14,-0.58436,0
805,2016-01-03 19:00:00-06,1.3189666666666668,50.92,0.0,2.25,-2.0481,0
817,2016-01-03 20:00:00-06,1.5552333333333332,47.05,0.0,2.25,-2.72382,0
829,2016-01-03 21:00:00-06,1.2871333333333332,43.99,0.0,1.77,-2.72428,0
841,2016-01-03 22:00:00-06,1.4180666666666668,41.97,0.0,3.05,-2.71922,0
853,2016-01-03 23:00:00-06,2.51295,40.57,0.0,3.07,-2.72507,0
865,2016-01-04 00:00:00-06,2.4124833333333333,42.08,0.12,2.89,-2.7253,1
877,2016-01-04 01:00:00-06,2.57905,41.0,0.13,3.31,-2.47002,1
889,2016-01-04 02:00:00-06,2.3836666666666666,41.23,0.13,3.16,-2.72553,1
901,2016-01-04 03:00:00-06,2.658116666666667,40.04,0.13,2.39,-2.72572,1
913,2016-01-04 04:00:00-06,2.76465,38.93,0.13,3.0,-2.68624,1
925,2016-01-04 05:00:00-06,2.94855,38.64,0.13,4.52,-2.37957,1
937,2016-01-04 06:00:00-06,3.0155333333333334,37.6,0.13,3.44,-2.41364,1
949,2016-01-04 07:00:00-06,3.8569333333333327,37.06,0.13,3.32,-2.1978400000000002,1
961,2016-01-04 08:00:00-06,4.921216666666666,37.45,0.13,3.98,48.4709,1
973,2016-01-04 09:00:00-06,4.473383333333333,41.22,0.13,3.24,152.738,1
985,2016-01-04 10:00:00-06,4.724666666666667,46.07,0.13,3.66,236.778,1
997,2016-01-04 11:00:00-06,4.751,49.51,0.12,3.25,500.024,1
1009,2016-01-04 12:00:00-06,2.473516666666667,53.19,0.12,4.05,683.6569999999999,1
1021,2016-01-04 13:00:00-06,1.4291,55.1,0.14,3.77,719.077,1
1033,2016-01-04 14:00:00-06,3.810483333333333,55.87,0.16,3.38,654.467,1
1045,2016-01-04 15:00:00-06,1.9716166666666668,55.98,0.14,4.38,525.263,1
1057,2016-01-04 16:00:00-06,1.3760666666666668,55.15,0.16,4.37,352.059,1
1069,2016-01-04 17:00:00-06,2.239983333333333,53.42,0.18,4.18,137.42700000000002,1
1081,2016-01-04 18:00:00-06,2.781166666666667,50.15,0.12,3.36,2.7545599999999997,1
1093,2016-01-04 19:00:00-06,1.2658666666666667,47.16,0.04,3.08,-2.72211,1
1105,2016-01-04 20:00:00-06,1.2388333333333332,45.16,0.03,2.64,-2.72315,1
1117,2016-01-04 21:00:00-06,1.8432,42.65,0.03,2.53,-2.72364,1
1129,2016-01-04 22:00:00-06,1.8148,41.59,0.02,1.51,-2.04311,1
1141,2016-01-04 23:00:00-06,1.96955,39.51,0.03,1.63,-2.34958,1
1153,2016-01-05 00:00:00-06,2.5208,39.7,0.35,2.35,-2.7185900000000003,1
1165,2016-01-05 01:00:00-06,2.423833333333333,38.4,0.42,2.2,-2.38397,1
1177,2016-01-05 02:00:00-06,2.3821833333333333,37.24,0.49,1.68,-2.60576,1
1189,2016-01-05 03:00:00-06,2.91475,36.73,0.55,1.73,-1.42499,1
1201,2016-01-05 04:00:00-06,3.144433333333333,36.23,0.62,2.05,-1.70317,1
1213,2016-01-05 05:00:00-06,2.727,36.28,0.68,2.46,-1.3623299999999998,1
1225,2016-01-05 06:00:00-06,3.082883333333333,36.37,0.7,2.75,-1.9921099999999998,1
1237,2016-01-05 07:00:00-06,3.5582,36.95,0.61,3.3,-1.7026,1
1249,2016-01-05 08:00:00-06,3.91855,38.29,0.46,3.76,21.3903,1
1261,2016-01-05 09:00:00-06,5.0584,40.72,0.37,5.21,71.5287,1
1273,2016-01-05 10:00:00-06,5.22455,43.42,0.37,5.16,177.791,1
1285,2016-01-05 11:00:00-06,5.008016666666666,46.85,0.42,5.01,159.803,1
1297,2016-01-05 12:00:00-06,2.572766666666667,50.21,0.46,4.18,207.55200000000002,1
1309,2016-01-05 13:00:00-06,2.973133333333333,52.54,0.45,4.34,142.982,1
1321,2016-01-05 14:00:00-06,2.1277,54.51,0.41,4.5,107.926,1
1333,2016-01-05 15:00:00-06,1.4585833333333331,55.28,0.45,4.86,82.9796,1
1345,2016-01-05 16:00:00-06,1.751,55.2,0.72,4.76,42.1758,1
1357,2016-01-05 17:00:00-06,3.23935,54.2,0.79,4.1,16.2036,1
1369,2016-01-05 18:00:00-06,1.42175,52.72,0.93,3.83,-1.70087,1
1381,2016-01-05 19:00:00-06,1.18875,51.24,0.93,4.46,-2.12608,1
1393,2016-01-05 20:00:00-06,1.7796333333333332,50.14,0.73,4.84,-2.38124,1
1405,2016-01-05 21:00:00-06,1.7343166666666667,49.52,0.88,4.84,-1.70113,1
1417,2016-01-05 22:00:00-06,1.68725,48.89,0.97,4.51,-1.9450900000000002,1
1429,2016-01-05 23:00:00-06,1.9379833333333332,48.64,0.97,4.62,-1.8884,1
1441,2016-01-06 00:00:00-06,1.7685,47.96,0.89,3.5,-1.8602299999999998,1
1453,2016-01-06 01:00:00-06,1.6617666666666668,47.53,0.76,3.35,-1.85457,1
1465,2016-01-06 02:00:00-06,1.7361666666666669,47.01,0.86,2.92,-2.3820200000000002,1
1477,2016-01-06 03:00:00-06,2.054616666666667,46.87,0.84,2.91,-2.4841,1
1489,2016-01-06 04:00:00-06,1.9559,46.57,0.88,2.73,-2.13821,1
1501,2016-01-06 05:00:00-06,2.04145,46.04,0.86,2.14,-1.72417,1
1513,2016-01-06 06:00:00-06,2.0414166666666667,46.06,1.0,1.78,-2.3822900000000002,1
1525,2016-01-06 07:00:00-06,2.394066666666667,46.13,0.88,2.56,-1.7698,1
1537,2016-01-06 08:00:00-06,3.4955,46.35,0.72,2.47,35.4754,1
1549,2016-01-06 09:00:00-06,5.81105,47.15,0.53,2.94,52.6909,1
1561,2016-01-06 10:00:00-06,3.6753,48.39,0.58,3.0,487.342,1
1573,2016-01-06 11:00:00-06,1.462,50.01,0.69,3.62,384.32199999999995,1
1585,2016-01-06 12:00:00-06,2.082333333333333,51.39,0.75,3.08,335.901,1
1597,2016-01-06 13:00:00-06,5.339,52.32,0.7,3.9,155.946,1
1609,2016-01-06 14:00:00-06,5.5998,53.05,0.57,2.87,186.982,1
1621,2016-01-06 15:00:00-06,2.913733333333333,53.7,0.52,3.16,396.49699999999996,1
1633,2016-01-06 16:00:00-06,4.300433333333332,53.82,0.6,3.41,200.68599999999998,1
1645,2016-01-06 17:00:00-06,3.6254166666666663,53.42,0.67,2.15,88.9366,1
1657,2016-01-06 18:00:00-06,1.2861166666666668,52.75,0.69,2.41,-0.753328,1
1669,2016-01-06 19:00:00-06,1.6823666666666668,52.42,1.0,1.77,-2.9064799999999997,1
1681,2016-01-06 20:00:00-06,1.5815,52.46,1.0,1.83,-2.7198700000000002,1
1693,2016-01-06 21:00:00-06,1.7573666666666667,52.59,1.0,0.64,-2.69215,1
1705,2016-01-06 22:00:00-06,0.9541,52.29,1.0,1.6,-2.7204900000000003,1
1717,2016-01-06 23:00:00-06,1.0287333333333333,52.21,1.0,1.61,-2.60753,1
1729,2016-01-07 00:00:00-06,1.0932166666666667,52.39,0.88,1.02,-2.7212400000000003,1
1741,2016-01-07 01:00:00-06,1.62645,51.47,0.82,1.87,-2.38121,1
1753,2016-01-07 02:00:00-06,1.6136166666666667,51.36,0.76,1.79,-1.8879599999999999,1
1765,2016-01-07 03:00:00-06,1.3078166666666668,51.22,0.71,1.35,-1.7122,1
1777,2016-01-07 04:00:00-06,1.58615,51.08,0.72,1.35,-1.72354,1
1789,2016-01-07 05:00:00-06,1.79995,50.65,0.75,1.56,-1.8766200000000002,1
1801,2016-01-07 06:00:00-06,1.74065,50.08,0.81,2.32,-2.38119,1
1813,2016-01-07 07:00:00-06,1.95725,49.34,0.75,1.36,-2.38082,1
1825,2016-01-07 08:00:00-06,2.6517,49.84,0.72,2.78,21.9625,1
1837,2016-01-07 09:00:00-06,3.05965,51.06,0.76,3.14,113.986,1
1849,2016-01-07 10:00:00-06,4.656983333333333,53.57,0.74,2.92,145.411,1
1861,2016-01-07 11:00:00-06,1.7859833333333333,56.43,0.57,2.98,129.97,1
1873,2016-01-07 12:00:00-06,1.5923,60.28,0.18,1.86,361.695,1
1885,2016-01-07 13:00:00-06,1.503016666666667,65.13,0.16,1.92,209.547,1
1897,2016-01-07 14:00:00-06,1.4281833333333331,68.19,0.12,2.19,567.729,1
1909,2016-01-07 15:00:00-06,2.027,70.23,0.09,2.94,526.735,1
1921,2016-01-07 16:00:00-06,1.990033333333333,69.54,0.08,2.6,352.14099999999996,1
1933,2016-01-07 17:00:00-06,1.8313,67.18,0.1,3.99,151.954,1
1945,2016-01-07 18:00:00-06,1.68675,62.73,0.1,3.75,-0.26621999999999996,1
1957,2016-01-07 19:00:00-06,1.3430333333333333,59.93,0.0,3.54,-3.1560900000000003,1
1969,2016-01-07 20:00:00-06,1.3474666666666668,56.88,0.0,2.93,-3.20814,1
1981,2016-01-07 21:00:00-06,0.9999,55.24,0.0,2.66,-3.39605,1
1993,2016-01-07 22:00:00-06,0.4989666666666666,54.02,0.0,2.04,-2.97689,1
2005,2016-01-07 23:00:00-06,0.43785,52.74,0.01,2.06,-2.7223,1
2017,2016-01-08 00:00:00-06,0.4128,50.62,0.17,2.71,-2.7223,1
2029,2016-01-08 01:00:00-06,0.6987333333333332,49.06,0.15,2.29,-1.88293,1
2041,2016-01-08 02:00:00-06,0.72705,47.83,0.13,3.21,-2.06407,1
2053,2016-01-08 03:00:00-06,0.9216,46.86,0.08,2.22,-2.11499,1
