"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8649,2016-01-31 00:00:00-06,0.16746666666666665,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.4427833333333333,0.18543333333333328
8661,2016-01-31 01:00:00-06,0.14641666666666664,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.4329,0.12476666666666665
8673,2016-01-31 02:00:00-06,0.1384833333333333,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.61665,0.13516666666666666
8685,2016-01-31 03:00:00-06,0.1331833333333333,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.5152333333333332,0.13786666666666664
8697,2016-01-31 04:00:00-06,0.1242333333333333,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,1.50695,0.1285333333333333
8709,2016-01-31 05:00:00-06,0.14266666666666666,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,1.488816666666667,0.1158
8721,2016-01-31 06:00:00-06,0.1412833333333333,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,1.59795,0.1339833333333333
8733,2016-01-31 07:00:00-06,0.2524333333333333,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.9168833333333332,0.2701333333333333
8745,2016-01-31 08:00:00-06,0.1996,59.69,0.87,6.38,104.113,0,8.30918,104.625,0.2372666666666666,0.4622666666666666
8757,2016-01-31 09:00:00-06,0.241,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,0.2614,0.9179333333333332
8769,2016-01-31 10:00:00-06,0.16961666666666664,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,0.2847333333333333,0.4385333333333333
8781,2016-01-31 11:00:00-06,0.1781333333333333,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,0.94245,0.3561166666666666
8793,2016-01-31 12:00:00-06,0.17035,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,0.21055,0.2969
8805,2016-01-31 13:00:00-06,0.20751666666666665,77.0,0.05,4.22,782.034,0,93.8208,741.559,0.2705333333333333,0.3984333333333333
8817,2016-01-31 14:00:00-06,0.18181666666666663,79.65,0.03,3.05,724.258,0,99.4203,678.543,0.49625,0.32025
8829,2016-01-31 15:00:00-06,0.1755333333333333,80.93,0.01,1.65,600.888,0,209.046,550.913,0.2738333333333333,0.3393666666666666
8841,2016-01-31 16:00:00-06,0.22201666666666664,80.92,0.01,1.22,416.6,0,19.3617,387.267,0.38655,0.2407166666666666
8853,2016-01-31 17:00:00-06,0.17556666666666665,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,0.4703333333333332,0.297
8865,2016-01-31 18:00:00-06,0.1718333333333333,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,0.6195,0.2427666666666666
8877,2016-01-31 19:00:00-06,0.3374166666666666,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,0.42231666666666656,0.35925
8889,2016-01-31 20:00:00-06,0.3038833333333333,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,0.3363333333333333,0.3471333333333333
8901,2016-01-31 21:00:00-06,0.3350166666666666,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,0.3916333333333333,0.18256666666666663
8913,2016-01-31 22:00:00-06,0.18705,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,0.3173,0.1612333333333333
8925,2016-01-31 23:00:00-06,0.15825,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,0.15865,0.1422333333333333
8937,2016-02-01 00:00:00-06,0.14885,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.12726666666666664,0.1455333333333333
8949,2016-02-01 01:00:00-06,0.14626666666666666,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,0.1245,0.1339333333333333
8961,2016-02-01 02:00:00-06,0.1465,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,0.12385,0.12891666666666665
8973,2016-02-01 03:00:00-06,0.1379,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.12295,0.13206666666666664
8985,2016-02-01 04:00:00-06,0.1346333333333333,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,0.1251833333333333,0.1322833333333333
8997,2016-02-01 05:00:00-06,0.1337333333333333,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.12296666666666665,0.1419833333333333
9009,2016-02-01 06:00:00-06,0.2477666666666666,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.1215833333333333,0.20216666666666666
9021,2016-02-01 07:00:00-06,0.2495333333333333,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,0.1203333333333333,0.12496666666666666
9033,2016-02-01 08:00:00-06,0.21985,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,0.20255,0.3551666666666666
9045,2016-02-01 09:00:00-06,0.3027666666666666,57.05,0.62,3.05,291.15,1,8.29157,248.423,0.6987,0.42235
9057,2016-02-01 10:00:00-06,0.18478333333333327,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,0.3153166666666666,0.3328666666666666
9069,2016-02-01 11:00:00-06,0.1801333333333333,63.38,0.76,4.73,663.888,1,42.2416,360.561,0.44706666666666656,0.2125
9081,2016-02-01 12:00:00-06,0.22438333333333327,65.94,0.65,6.16,766.074,1,60.1026,639.696,0.4675833333333332,0.21936666666666665
9093,2016-02-01 13:00:00-06,0.1524833333333333,67.95,0.55,6.84,784.2189999999999,1,65.9975,691.5260000000001,0.7975,0.20425
9105,2016-02-01 14:00:00-06,0.15221666666666664,70.33,0.29,7.06,738.443,1,36.5113,393.96,1.7621666666666669,0.20421666666666666
9117,2016-02-01 15:00:00-06,0.1523333333333333,71.74,0.21,7.86,602.284,1,47.8015,348.74800000000005,1.4048,0.20776666666666666
9129,2016-02-01 16:00:00-06,0.1532833333333333,72.78,0.16,7.44,428.26,1,11.0005,166.47299999999998,1.0832333333333333,0.3048333333333333
9141,2016-02-01 17:00:00-06,0.15291666666666665,73.25,0.15,7.75,214.923,1,21.1719,94.6888,1.1573666666666669,0.2644666666666666
9153,2016-02-01 18:00:00-06,0.19511666666666666,71.72,0.08,8.71,25.7141,1,-1.70375,2.3949599999999998,1.2285833333333331,0.4596833333333333
9165,2016-02-01 19:00:00-06,0.6977,69.39,0.06,10.31,-3.3975699999999995,1,-1.87412,-2.7185200000000003,1.8209333333333333,0.49245
9177,2016-02-01 20:00:00-06,0.6976333333333332,67.32,0.13,11.63,-2.80985,1,-1.6128799999999999,-2.62276,1.2198,0.32195
9189,2016-02-01 21:00:00-06,0.2794166666666666,65.53,0.51,10.81,-2.7195400000000003,1,-1.26645,-2.70819,0.8180666666666666,0.2798
9201,2016-02-01 22:00:00-06,0.2415,65.17,0.77,8.13,-2.71976,1,-1.2891700000000001,-2.5553,0.5020833333333332,0.1459333333333333
9213,2016-02-01 23:00:00-06,0.1901833333333333,64.85,0.81,6.31,-2.71997,1,-1.363,-2.61249,0.2659,0.1492
9225,2016-02-02 00:00:00-06,0.15075,63.3,0.62,6.13,-2.72004,1,-1.363,-2.3804,0.18686666666666665,0.13916666666666666
9237,2016-02-02 01:00:00-06,0.14646666666666666,60.61,0.5,5.95,-2.86179,1,-1.363,-2.3805099999999997,0.16575,0.1287333333333333
9249,2016-02-02 02:00:00-06,0.1457833333333333,57.88,0.3,6.12,-2.72045,1,-1.29485,-2.38048,0.16076666666666664,0.13841666666666666
9261,2016-02-02 03:00:00-06,0.14931666666666665,55.38,0.16,6.22,-2.78281,1,-0.976816,-2.38081,0.14516666666666664,0.1380833333333333
