"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
8643,2016-01-31 00:00:00-06,0.3103333333333333,58.01,0.4,5.45,-2.72055,0,-1.7026,-2.72421,0.5001,0.5115
8655,2016-01-31 01:00:00-06,0.2582666666666666,57.6,0.44,5.84,-2.7208900000000003,0,-1.65152,-2.7242599999999997,0.5444666666666667,0.45045
8667,2016-01-31 02:00:00-06,0.2668833333333333,57.46,0.52,5.95,-2.72103,0,-1.7025700000000001,-2.72485,0.50135,0.39475
8679,2016-01-31 03:00:00-06,0.3021333333333333,58.21,0.56,7.24,-2.72138,0,-1.91251,-2.72507,0.4648166666666666,0.3513666666666666
8691,2016-01-31 04:00:00-06,0.30685,58.83,0.61,6.79,-2.72138,0,-2.3949700000000003,-2.61153,0.4731333333333332,0.43295
8703,2016-01-31 05:00:00-06,0.34155,59.42,0.74,7.09,-2.72138,0,-1.3622100000000001,-2.72507,0.4676666666666666,0.4785166666666666
8715,2016-01-31 06:00:00-06,0.41971666666666657,59.61,0.78,6.7,-3.40173,0,-1.71973,-2.72458,0.5268333333333332,1.617
8727,2016-01-31 07:00:00-06,0.9604333333333333,59.76,0.81,6.43,-3.1579599999999997,0,-2.35532,-2.57101,0.9710333333333332,2.2665333333333333
8739,2016-01-31 08:00:00-06,1.193366666666667,59.69,0.87,6.38,104.113,0,8.30918,104.625,1.1068333333333331,1.8089166666666667
8751,2016-01-31 09:00:00-06,1.8582833333333333,61.72,0.83,5.67,303.21299999999997,0,39.4862,296.368,1.7776166666666668,1.9548166666666669
8763,2016-01-31 10:00:00-06,2.77505,64.85,0.27,6.38,517.529,0,132.175,477.23199999999997,2.2999666666666667,2.538383333333333
8775,2016-01-31 11:00:00-06,3.012916666666667,68.83,0.09,6.11,670.2869999999999,0,108.83,638.649,2.2880333333333334,2.4379666666666666
8787,2016-01-31 12:00:00-06,3.2861833333333332,72.24,0.08,5.31,759.02,0,85.2728,726.7130000000001,2.5727,2.402133333333333
8799,2016-01-31 13:00:00-06,2.3593,77.0,0.05,4.22,782.034,0,93.8208,741.559,1.9330166666666668,2.242316666666667
8811,2016-01-31 14:00:00-06,1.6657,79.65,0.03,3.05,724.258,0,99.4203,678.543,1.3027666666666669,1.28445
8823,2016-01-31 15:00:00-06,1.4433333333333331,80.93,0.01,1.65,600.888,0,209.046,550.913,1.2018166666666668,1.4168166666666668
8835,2016-01-31 16:00:00-06,1.6430333333333331,80.92,0.01,1.22,416.6,0,19.3617,387.267,1.2868,1.6078
8847,2016-01-31 17:00:00-06,3.8478,78.69,0.03,2.13,221.80900000000003,0,8.87914,199.61700000000002,1.8647166666666668,1.9818833333333332
8859,2016-01-31 18:00:00-06,2.1105666666666667,74.13,0.02,2.93,25.26,0,-1.70317,6.68427,3.533916666666667,1.6607666666666667
8871,2016-01-31 19:00:00-06,1.7225666666666668,69.17,0.0,2.21,-4.75239,0,-2.0441,-2.80463,1.57045,1.1368333333333331
8883,2016-01-31 20:00:00-06,1.9005666666666667,66.1,0.0,1.64,-4.7544,0,-2.23153,-2.7204200000000003,1.3474333333333333,1.11685
8895,2016-01-31 21:00:00-06,1.28685,63.09,0.0,1.31,-3.18253,0,-2.17475,-2.72051,1.090733333333333,0.50405
8907,2016-01-31 22:00:00-06,0.7327833333333332,60.57,0.0,2.05,-3.39923,0,-2.01009,-2.7204900000000003,1.0279,0.4174
8919,2016-01-31 23:00:00-06,0.4876333333333332,60.11,0.0,4.03,-2.8845,0,-1.78865,-2.7205,0.9928666666666665,0.3442666666666666
8931,2016-02-01 00:00:00-06,0.5357333333333332,58.91,0.2,3.39,-2.3465,1,-1.9477400000000002,-2.72091,0.8735,0.2735833333333333
8943,2016-02-01 01:00:00-06,0.78155,56.56,0.2,2.79,-2.2671,1,-2.0442,-2.7212,1.0482833333333332,0.2588333333333333
8955,2016-02-01 02:00:00-06,0.7615166666666666,54.91,0.07,2.53,-2.72055,1,-2.03852,-2.72138,1.0300833333333332,0.2909666666666666
8967,2016-02-01 03:00:00-06,0.80215,53.39,0.04,1.99,-2.36916,1,-2.04445,-2.72138,0.9783333333333332,0.24945
8979,2016-02-01 04:00:00-06,0.9265833333333332,53.27,0.32,1.03,-2.27297,1,-1.70373,-2.72138,1.0338,0.3212666666666666
8991,2016-02-01 05:00:00-06,0.5958333333333332,53.26,0.44,0.48,-2.19932,1,-1.70375,-2.72138,0.98025,0.2752666666666666
9003,2016-02-01 06:00:00-06,0.7274,53.24,0.5,0.66,-2.31835,1,-2.0445,-2.72138,0.9242833333333332,0.3578166666666666
9015,2016-02-01 07:00:00-06,1.38985,54.36,0.54,1.42,-1.71165,1,-2.3000599999999998,-2.72705,1.3672333333333333,1.3704166666666668
9027,2016-02-01 08:00:00-06,1.095883333333333,54.87,0.57,2.59,93.0911,1,0.834837,56.9053,1.1053833333333332,1.2651
9039,2016-02-01 09:00:00-06,1.4064333333333332,57.05,0.62,3.05,291.15,1,8.29157,248.423,2.0042166666666668,1.8815666666666668
9051,2016-02-01 10:00:00-06,1.4813666666666667,60.05,0.72,3.94,510.218,1,13.5164,464.32099999999997,2.635733333333333,1.8470666666666669
9063,2016-02-01 11:00:00-06,1.4719833333333332,63.38,0.76,4.73,663.888,1,42.2416,360.561,2.75845,1.74695
