,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
4,2016-01-01 00:00:00-06,0.5950833333333332,47.22,0.96,8.09,-1.7026,1
16,2016-01-01 01:00:00-06,0.4814166666666666,46.5,1.0,8.22,-1.65152,1
28,2016-01-01 02:00:00-06,0.331,46.04,1.0,8.74,-1.7025700000000001,1
40,2016-01-01 03:00:00-06,0.3421833333333333,45.34,1.0,9.31,-1.91251,1
52,2016-01-01 04:00:00-06,1.0249666666666668,44.49,1.0,8.84,-2.3949700000000003,1
64,2016-01-01 05:00:00-06,0.38251666666666656,43.88,0.98,8.61,-1.3622100000000001,1
76,2016-01-01 06:00:00-06,0.3280666666666666,42.92,0.91,8.78,-1.71973,1
88,2016-01-01 07:00:00-06,0.568,42.73,1.0,8.86,-2.35532,1
100,2016-01-01 08:00:00-06,0.9090833333333332,42.59,1.0,9.39,8.30918,1
112,2016-01-01 09:00:00-06,0.59485,43.12,1.0,9.87,39.4862,1
124,2016-01-01 10:00:00-06,0.5642666666666666,43.68,0.98,9.9,132.175,1
136,2016-01-01 11:00:00-06,0.8727666666666666,44.52,0.92,9.26,108.83,1
148,2016-01-01 12:00:00-06,1.3153666666666668,45.93,0.97,8.81,85.2728,1
160,2016-01-01 13:00:00-06,1.3828833333333332,45.49,0.97,7.7,93.8208,1
172,2016-01-01 14:00:00-06,1.3219666666666667,46.11,0.99,8.1,99.4203,1
184,2016-01-01 15:00:00-06,1.2910666666666668,46.35,0.8,8.12,209.046,1
196,2016-01-01 16:00:00-06,0.7035666666666666,45.78,0.93,7.51,19.3617,1
208,2016-01-01 17:00:00-06,0.47865,45.16,0.97,6.56,8.87914,1
220,2016-01-01 18:00:00-06,0.7026,44.63,1.0,6.59,-1.70317,1
232,2016-01-01 19:00:00-06,0.6544833333333332,44.79,1.0,6.3,-2.0441,1
244,2016-01-01 20:00:00-06,1.0621166666666668,44.6,1.0,5.94,-2.23153,1
256,2016-01-01 21:00:00-06,1.30135,44.5,1.0,6.1,-2.17475,1
268,2016-01-01 22:00:00-06,0.6812833333333332,44.18,1.0,5.63,-2.01009,1
280,2016-01-01 23:00:00-06,0.5912166666666666,44.02,1.0,5.02,-1.78865,1
292,2016-01-02 00:00:00-06,0.5621166666666666,43.86,1.0,5.13,-1.9477400000000002,0
304,2016-01-02 01:00:00-06,0.58585,43.63,0.95,5.1,-2.0442,0
316,2016-01-02 02:00:00-06,0.4713833333333332,43.31,0.9,5.04,-2.03852,0
328,2016-01-02 03:00:00-06,0.7383833333333331,43.17,0.8,4.81,-2.04445,0
340,2016-01-02 04:00:00-06,0.3299166666666666,42.76,0.91,3.62,-1.70373,0
352,2016-01-02 05:00:00-06,0.4292166666666665,43.34,0.96,4.56,-1.70375,0
364,2016-01-02 06:00:00-06,0.43561666666666654,43.16,1.0,3.72,-2.0445,0
376,2016-01-02 07:00:00-06,0.7612666666666666,43.13,0.95,3.47,-2.3000599999999998,0
388,2016-01-02 08:00:00-06,0.3435833333333333,42.82,0.82,3.6,0.834837,0
400,2016-01-02 09:00:00-06,0.4652333333333332,43.91,0.88,3.65,8.29157,0
412,2016-01-02 10:00:00-06,0.6076166666666666,44.81,0.89,4.14,13.5164,0
424,2016-01-02 11:00:00-06,0.70565,45.84,0.89,3.61,42.2416,0
436,2016-01-02 12:00:00-06,0.5131333333333332,46.48,0.88,3.53,60.1026,0
448,2016-01-02 13:00:00-06,0.5176,46.94,0.83,3.03,65.9975,0
460,2016-01-02 14:00:00-06,1.8078333333333332,47.26,0.74,3.22,36.5113,0
472,2016-01-02 15:00:00-06,1.4007333333333332,47.76,0.71,2.99,47.8015,0
484,2016-01-02 16:00:00-06,0.9989,47.1,0.7,2.88,11.0005,0
496,2016-01-02 17:00:00-06,1.2695,46.45,0.88,2.17,21.1719,0
508,2016-01-02 18:00:00-06,1.0980333333333332,44.25,0.91,1.89,-1.70375,0
520,2016-01-02 19:00:00-06,1.0875333333333332,43.67,0.8,1.9,-1.87412,0
532,2016-01-02 20:00:00-06,1.25525,42.88,0.79,2.08,-1.6128799999999999,0
544,2016-01-02 21:00:00-06,1.2408,42.91,0.82,0.66,-1.26645,0
556,2016-01-02 22:00:00-06,0.5910666666666666,42.56,0.97,1.99,-1.2891700000000001,0
568,2016-01-02 23:00:00-06,0.4870666666666666,43.0,0.82,2.3,-1.363,0
580,2016-01-03 00:00:00-06,0.4633666666666666,42.3,0.9,2.94,-1.363,0
