,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
838,2016-01-03 21:00:00-06,0.2442666666666666,43.99,0.0,1.77,-2.72428,0
850,2016-01-03 22:00:00-06,0.42775,41.97,0.0,3.05,-2.71922,0
862,2016-01-03 23:00:00-06,0.4445833333333333,40.57,0.0,3.07,-2.72507,0
874,2016-01-04 00:00:00-06,0.4722,42.08,0.12,2.89,-2.7253,1
886,2016-01-04 01:00:00-06,0.4944833333333332,41.0,0.13,3.31,-2.47002,1
898,2016-01-04 02:00:00-06,0.4811,41.23,0.13,3.16,-2.72553,1
910,2016-01-04 03:00:00-06,0.44376666666666653,40.04,0.13,2.39,-2.72572,1
922,2016-01-04 04:00:00-06,0.4432333333333333,38.93,0.13,3.0,-2.68624,1
934,2016-01-04 05:00:00-06,0.5406666666666666,38.64,0.13,4.52,-2.37957,1
946,2016-01-04 06:00:00-06,0.9033333333333332,37.6,0.13,3.44,-2.41364,1
958,2016-01-04 07:00:00-06,0.7267,37.06,0.13,3.32,-2.1978400000000002,1
970,2016-01-04 08:00:00-06,0.49675,37.45,0.13,3.98,48.4709,1
982,2016-01-04 09:00:00-06,0.43131666666666657,41.22,0.13,3.24,152.738,1
994,2016-01-04 10:00:00-06,0.2903833333333333,46.07,0.13,3.66,236.778,1
1006,2016-01-04 11:00:00-06,0.2466333333333333,49.51,0.12,3.25,500.024,1
1018,2016-01-04 12:00:00-06,0.22055,53.19,0.12,4.05,683.6569999999999,1
1030,2016-01-04 13:00:00-06,0.22203333333333328,55.1,0.14,3.77,719.077,1
1042,2016-01-04 14:00:00-06,0.2448,55.87,0.16,3.38,654.467,1
1054,2016-01-04 15:00:00-06,0.36433333333333323,55.98,0.14,4.38,525.263,1
1066,2016-01-04 16:00:00-06,0.4700333333333332,55.15,0.16,4.37,352.059,1
1078,2016-01-04 17:00:00-06,0.9438666666666664,53.42,0.18,4.18,137.42700000000002,1
1090,2016-01-04 18:00:00-06,2.277616666666667,50.15,0.12,3.36,2.7545599999999997,1
1102,2016-01-04 19:00:00-06,1.7708666666666668,47.16,0.04,3.08,-2.72211,1
1114,2016-01-04 20:00:00-06,0.5864666666666666,45.16,0.03,2.64,-2.72315,1
1126,2016-01-04 21:00:00-06,0.42935,42.65,0.03,2.53,-2.72364,1
1138,2016-01-04 22:00:00-06,0.38626666666666654,41.59,0.02,1.51,-2.04311,1
1150,2016-01-04 23:00:00-06,0.4462333333333333,39.51,0.03,1.63,-2.34958,1
1162,2016-01-05 00:00:00-06,0.4813333333333332,39.7,0.35,2.35,-2.7185900000000003,1
1174,2016-01-05 01:00:00-06,0.4191833333333333,38.4,0.42,2.2,-2.38397,1
1186,2016-01-05 02:00:00-06,0.4446833333333333,37.24,0.49,1.68,-2.60576,1
1198,2016-01-05 03:00:00-06,0.43865,36.73,0.55,1.73,-1.42499,1
1210,2016-01-05 04:00:00-06,0.4068,36.23,0.62,2.05,-1.70317,1
1222,2016-01-05 05:00:00-06,0.68545,36.28,0.68,2.46,-1.3623299999999998,1
1234,2016-01-05 06:00:00-06,0.7824,36.37,0.7,2.75,-1.9921099999999998,1
1246,2016-01-05 07:00:00-06,0.4505333333333333,36.95,0.61,3.3,-1.7026,1
1258,2016-01-05 08:00:00-06,0.4987,38.29,0.46,3.76,21.3903,1
1270,2016-01-05 09:00:00-06,0.5424833333333332,40.72,0.37,5.21,71.5287,1
1282,2016-01-05 10:00:00-06,0.4280833333333333,43.42,0.37,5.16,177.791,1
1294,2016-01-05 11:00:00-06,0.299,46.85,0.42,5.01,159.803,1
1306,2016-01-05 12:00:00-06,0.2520833333333333,50.21,0.46,4.18,207.55200000000002,1
1318,2016-01-05 13:00:00-06,0.2375833333333333,52.54,0.45,4.34,142.982,1
1330,2016-01-05 14:00:00-06,0.22191666666666665,54.51,0.41,4.5,107.926,1
1342,2016-01-05 15:00:00-06,0.21333333333333326,55.28,0.45,4.86,82.9796,1
1354,2016-01-05 16:00:00-06,0.2838833333333333,55.2,0.72,4.76,42.1758,1
1366,2016-01-05 17:00:00-06,0.2288833333333333,54.2,0.79,4.1,16.2036,1
1378,2016-01-05 18:00:00-06,0.8698833333333331,52.72,0.93,3.83,-1.70087,1
1390,2016-01-05 19:00:00-06,1.2693166666666669,51.24,0.93,4.46,-2.12608,1
1402,2016-01-05 20:00:00-06,1.8033666666666668,50.14,0.73,4.84,-2.38124,1
1414,2016-01-05 21:00:00-06,0.7753166666666667,49.52,0.88,4.84,-1.70113,1
1426,2016-01-05 22:00:00-06,0.7146666666666666,48.89,0.97,4.51,-1.9450900000000002,1
1438,2016-01-05 23:00:00-06,0.6734666666666665,48.64,0.97,4.62,-1.8884,1
1450,2016-01-06 00:00:00-06,0.71275,47.96,0.89,3.5,-1.8602299999999998,1
1462,2016-01-06 01:00:00-06,0.7090166666666666,47.53,0.76,3.35,-1.85457,1
1474,2016-01-06 02:00:00-06,0.7098833333333332,47.01,0.86,2.92,-2.3820200000000002,1
1486,2016-01-06 03:00:00-06,0.6830833333333332,46.87,0.84,2.91,-2.4841,1
1498,2016-01-06 04:00:00-06,0.6953333333333332,46.57,0.88,2.73,-2.13821,1
1510,2016-01-06 05:00:00-06,0.90025,46.04,0.86,2.14,-1.72417,1
1522,2016-01-06 06:00:00-06,1.2148333333333332,46.06,1.0,1.78,-2.3822900000000002,1
1534,2016-01-06 07:00:00-06,0.6428833333333333,46.13,0.88,2.56,-1.7698,1
1546,2016-01-06 08:00:00-06,0.59665,46.35,0.72,2.47,35.4754,1
1558,2016-01-06 09:00:00-06,0.4790333333333332,47.15,0.53,2.94,52.6909,1
1570,2016-01-06 10:00:00-06,0.4233833333333333,48.39,0.58,3.0,487.342,1
1582,2016-01-06 11:00:00-06,0.57595,50.01,0.69,3.62,384.32199999999995,1
1594,2016-01-06 12:00:00-06,0.5523333333333332,51.39,0.75,3.08,335.901,1
1606,2016-01-06 13:00:00-06,0.6739833333333332,52.32,0.7,3.9,155.946,1
1618,2016-01-06 14:00:00-06,0.6142166666666666,53.05,0.57,2.87,186.982,1
1630,2016-01-06 15:00:00-06,1.9839166666666668,53.7,0.52,3.16,396.49699999999996,1
1642,2016-01-06 16:00:00-06,1.6238333333333332,53.82,0.6,3.41,200.68599999999998,1
1654,2016-01-06 17:00:00-06,1.78265,53.42,0.67,2.15,88.9366,1
1666,2016-01-06 18:00:00-06,1.08045,52.75,0.69,2.41,-0.753328,1
1678,2016-01-06 19:00:00-06,0.6195166666666666,52.42,1.0,1.77,-2.9064799999999997,1
1690,2016-01-06 20:00:00-06,0.5272333333333332,52.46,1.0,1.83,-2.7198700000000002,1
1702,2016-01-06 21:00:00-06,0.4227,52.59,1.0,0.64,-2.69215,1
1714,2016-01-06 22:00:00-06,0.5573166666666666,52.29,1.0,1.6,-2.7204900000000003,1
1726,2016-01-06 23:00:00-06,0.4871833333333332,52.21,1.0,1.61,-2.60753,1
1738,2016-01-07 00:00:00-06,0.4764333333333332,52.39,0.88,1.02,-2.7212400000000003,1
1750,2016-01-07 01:00:00-06,0.4300833333333333,51.47,0.82,1.87,-2.38121,1
1762,2016-01-07 02:00:00-06,0.4172833333333333,51.36,0.76,1.79,-1.8879599999999999,1
1774,2016-01-07 03:00:00-06,0.5324333333333332,51.22,0.71,1.35,-1.7122,1
1786,2016-01-07 04:00:00-06,0.44605,51.08,0.72,1.35,-1.72354,1
1798,2016-01-07 05:00:00-06,0.6176666666666666,50.65,0.75,1.56,-1.8766200000000002,1
1810,2016-01-07 06:00:00-06,0.74335,50.08,0.81,2.32,-2.38119,1
1822,2016-01-07 07:00:00-06,0.5032166666666666,49.34,0.75,1.36,-2.38082,1
1834,2016-01-07 08:00:00-06,0.457,49.84,0.72,2.78,21.9625,1
1846,2016-01-07 09:00:00-06,0.6215,51.06,0.76,3.14,113.986,1
1858,2016-01-07 10:00:00-06,0.5815166666666666,53.57,0.74,2.92,145.411,1
1870,2016-01-07 11:00:00-06,0.36935,56.43,0.57,2.98,129.97,1
1882,2016-01-07 12:00:00-06,0.2496833333333333,60.28,0.18,1.86,361.695,1
1894,2016-01-07 13:00:00-06,0.2321166666666666,65.13,0.16,1.92,209.547,1
1906,2016-01-07 14:00:00-06,0.2402333333333333,68.19,0.12,2.19,567.729,1
1918,2016-01-07 15:00:00-06,0.3616166666666666,70.23,0.09,2.94,526.735,1
1930,2016-01-07 16:00:00-06,0.3224166666666666,69.54,0.08,2.6,352.14099999999996,1
1942,2016-01-07 17:00:00-06,0.5455333333333332,67.18,0.1,3.99,151.954,1
1954,2016-01-07 18:00:00-06,0.72385,62.73,0.1,3.75,-0.26621999999999996,1
1966,2016-01-07 19:00:00-06,0.7192833333333332,59.93,0.0,3.54,-3.1560900000000003,1
1978,2016-01-07 20:00:00-06,1.2744166666666668,56.88,0.0,2.93,-3.20814,1
1990,2016-01-07 21:00:00-06,0.32365,55.24,0.0,2.66,-3.39605,1
2002,2016-01-07 22:00:00-06,0.2710333333333333,54.02,0.0,2.04,-2.97689,1
2014,2016-01-07 23:00:00-06,0.2386166666666666,52.74,0.01,2.06,-2.7223,1
2026,2016-01-08 00:00:00-06,0.37976666666666653,50.62,0.17,2.71,-2.7223,1
2038,2016-01-08 01:00:00-06,0.3192666666666666,49.06,0.15,2.29,-1.88293,1
2050,2016-01-08 02:00:00-06,0.28735,47.83,0.13,3.21,-2.06407,1
2062,2016-01-08 03:00:00-06,0.36688333333333323,46.86,0.08,2.22,-2.11499,1
2074,2016-01-08 04:00:00-06,0.38696666666666657,45.89,0.08,1.21,-2.3816900000000003,1
2086,2016-01-08 05:00:00-06,0.6975833333333332,46.02,0.13,2.18,-1.84323,1
2098,2016-01-08 06:00:00-06,0.9829333333333332,45.42,0.21,2.74,-2.0417099999999997,1
2110,2016-01-08 07:00:00-06,0.4611666666666666,45.25,0.29,2.52,-1.8712799999999998,1
2122,2016-01-08 08:00:00-06,0.39856666666666657,46.18,0.2,1.07,44.695,1
2134,2016-01-08 09:00:00-06,0.39885,48.91,0.2,1.04,200.065,1
2146,2016-01-08 10:00:00-06,0.4168333333333333,51.99,0.83,1.02,417.158,1
2158,2016-01-08 11:00:00-06,0.37416666666666654,55.57,0.87,2.1,718.319,1
2170,2016-01-08 12:00:00-06,0.3100833333333333,60.05,0.4,4.03,477.962,1
2182,2016-01-08 13:00:00-06,0.3303,61.63,0.4,3.96,460.81300000000005,1
2194,2016-01-08 14:00:00-06,0.5378166666666666,62.8,0.37,3.02,317.875,1
2206,2016-01-08 15:00:00-06,0.6158166666666666,63.67,0.2,2.97,183.55599999999998,1
2218,2016-01-08 16:00:00-06,0.3790833333333333,63.98,0.26,2.35,173.593,1
2230,2016-01-08 17:00:00-06,0.6898333333333332,63.02,0.28,1.71,76.5486,1
2242,2016-01-08 18:00:00-06,1.0026666666666664,60.52,0.24,0.48,-0.985291,1
2254,2016-01-08 19:00:00-06,0.5786333333333332,58.16,0.16,0.26,-3.3536599999999996,1
2266,2016-01-08 20:00:00-06,0.35725,55.61,0.11,0.82,-2.92939,1
2278,2016-01-08 21:00:00-06,0.37211666666666654,55.71,0.36,2.13,-2.94151,1
2290,2016-01-08 22:00:00-06,0.3833,55.53,0.5,2.62,-2.72099,1
2302,2016-01-08 23:00:00-06,0.3062333333333333,55.39,0.35,5.08,-2.72138,1
2314,2016-01-09 00:00:00-06,0.2315166666666666,54.77,0.65,5.57,-2.72138,0
2326,2016-01-09 01:00:00-06,0.28035,54.17,0.4,4.35,-1.7065299999999999,0
2338,2016-01-09 02:00:00-06,0.3286166666666666,52.12,0.2,4.93,-2.72138,0
2350,2016-01-09 03:00:00-06,0.35315,50.85,0.03,4.69,-2.78983,0
2362,2016-01-09 04:00:00-06,0.3541166666666666,49.08,0.02,4.8,-2.7223,0
2374,2016-01-09 05:00:00-06,0.42825,47.68,0.02,5.45,-3.05721,0
2386,2016-01-09 06:00:00-06,0.4199833333333333,46.28,0.03,5.81,-3.3241199999999997,0
2398,2016-01-09 07:00:00-06,0.5096833333333332,44.94,0.09,7.16,-3.04661,0
2410,2016-01-09 08:00:00-06,0.4911333333333332,44.18,0.17,8.08,96.5951,0
2422,2016-01-09 09:00:00-06,0.6569833333333333,45.02,0.48,9.01,307.435,0
2434,2016-01-09 10:00:00-06,0.4781666666666666,47.18,0.25,9.7,495.721,0
2446,2016-01-09 11:00:00-06,0.2647666666666666,49.56,0.19,10.04,646.1469999999999,0
2458,2016-01-09 12:00:00-06,0.3491666666666666,50.73,0.26,10.12,730.58,0
2470,2016-01-09 13:00:00-06,0.4851666666666666,51.4,0.31,9.99,735.3660000000001,0
2482,2016-01-09 14:00:00-06,0.3367166666666666,50.78,0.36,10.29,698.692,0
2494,2016-01-09 15:00:00-06,0.22946666666666665,49.14,0.24,10.53,501.337,0
2506,2016-01-09 16:00:00-06,0.3177,47.24,0.26,9.38,379.68800000000005,0
2518,2016-01-09 17:00:00-06,2.317333333333333,45.22,0.42,10.16,183.61700000000002,0
2530,2016-01-09 18:00:00-06,0.8018666666666666,43.3,0.44,9.6,-0.974575,0
2542,2016-01-09 19:00:00-06,0.6502833333333332,42.62,0.61,9.41,-3.3161,0
2554,2016-01-09 20:00:00-06,0.7688666666666666,41.7,0.6,8.97,-3.2886300000000004,0
2566,2016-01-09 21:00:00-06,1.0009,40.98,0.59,7.61,-2.98318,0
2578,2016-01-09 22:00:00-06,0.65305,39.94,0.27,7.2,-2.72308,0
2590,2016-01-09 23:00:00-06,0.61355,38.78,0.18,5.96,-3.06363,0
2602,2016-01-10 00:00:00-06,0.43816666666666654,37.53,0.26,5.99,-2.75245,0
2614,2016-01-10 01:00:00-06,0.4471333333333333,36.74,0.26,6.21,-2.88895,0
2626,2016-01-10 02:00:00-06,0.5121,35.7,0.25,5.58,-2.72503,0
2638,2016-01-10 03:00:00-06,0.42851666666666655,34.87,0.24,5.57,-2.72534,0
2650,2016-01-10 04:00:00-06,0.44025,33.93,0.24,5.51,-2.72593,0
2662,2016-01-10 05:00:00-06,0.5024,33.09,0.25,5.45,-2.6408099999999997,0
2674,2016-01-10 06:00:00-06,0.46575,32.81,0.25,5.51,-2.78848,0
2686,2016-01-10 07:00:00-06,1.674583333333333,32.85,0.25,5.15,-2.7263900000000003,0
2698,2016-01-10 08:00:00-06,0.8144666666666666,33.45,0.25,4.69,98.3846,0
2710,2016-01-10 09:00:00-06,1.0812166666666667,36.4,0.25,6.72,305.726,0
2722,2016-01-10 10:00:00-06,2.9942,39.31,0.25,6.98,493.286,0
2734,2016-01-10 11:00:00-06,1.4777,41.66,0.25,6.0,642.173,0
2746,2016-01-10 12:00:00-06,0.5560833333333332,44.51,0.22,4.82,726.3,0
