,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
3,2016-01-01 00:00:00-06,0.5001,47.22,0.96,8.09,-1.7026,1
15,2016-01-01 01:00:00-06,0.5444666666666667,46.5,1.0,8.22,-1.65152,1
27,2016-01-01 02:00:00-06,0.50135,46.04,1.0,8.74,-1.7025700000000001,1
39,2016-01-01 03:00:00-06,0.4648166666666666,45.34,1.0,9.31,-1.91251,1
51,2016-01-01 04:00:00-06,0.4731333333333332,44.49,1.0,8.84,-2.3949700000000003,1
63,2016-01-01 05:00:00-06,0.4676666666666666,43.88,0.98,8.61,-1.3622100000000001,1
75,2016-01-01 06:00:00-06,0.5268333333333332,42.92,0.91,8.78,-1.71973,1
87,2016-01-01 07:00:00-06,0.9710333333333332,42.73,1.0,8.86,-2.35532,1
99,2016-01-01 08:00:00-06,1.1068333333333331,42.59,1.0,9.39,8.30918,1
111,2016-01-01 09:00:00-06,1.7776166666666668,43.12,1.0,9.87,39.4862,1
123,2016-01-01 10:00:00-06,2.2999666666666667,43.68,0.98,9.9,132.175,1
135,2016-01-01 11:00:00-06,2.2880333333333334,44.52,0.92,9.26,108.83,1
147,2016-01-01 12:00:00-06,2.5727,45.93,0.97,8.81,85.2728,1
159,2016-01-01 13:00:00-06,1.9330166666666668,45.49,0.97,7.7,93.8208,1
171,2016-01-01 14:00:00-06,1.3027666666666669,46.11,0.99,8.1,99.4203,1
183,2016-01-01 15:00:00-06,1.2018166666666668,46.35,0.8,8.12,209.046,1
195,2016-01-01 16:00:00-06,1.2868,45.78,0.93,7.51,19.3617,1
207,2016-01-01 17:00:00-06,1.8647166666666668,45.16,0.97,6.56,8.87914,1
219,2016-01-01 18:00:00-06,3.533916666666667,44.63,1.0,6.59,-1.70317,1
231,2016-01-01 19:00:00-06,1.57045,44.79,1.0,6.3,-2.0441,1
243,2016-01-01 20:00:00-06,1.3474333333333333,44.6,1.0,5.94,-2.23153,1
255,2016-01-01 21:00:00-06,1.090733333333333,44.5,1.0,6.1,-2.17475,1
267,2016-01-01 22:00:00-06,1.0279,44.18,1.0,5.63,-2.01009,1
279,2016-01-01 23:00:00-06,0.9928666666666665,44.02,1.0,5.02,-1.78865,1
291,2016-01-02 00:00:00-06,0.8735,43.86,1.0,5.13,-1.9477400000000002,0
303,2016-01-02 01:00:00-06,1.0482833333333332,43.63,0.95,5.1,-2.0442,0
315,2016-01-02 02:00:00-06,1.0300833333333332,43.31,0.9,5.04,-2.03852,0
327,2016-01-02 03:00:00-06,0.9783333333333332,43.17,0.8,4.81,-2.04445,0
339,2016-01-02 04:00:00-06,1.0338,42.76,0.91,3.62,-1.70373,0
351,2016-01-02 05:00:00-06,0.98025,43.34,0.96,4.56,-1.70375,0
363,2016-01-02 06:00:00-06,0.9242833333333332,43.16,1.0,3.72,-2.0445,0
375,2016-01-02 07:00:00-06,1.3672333333333333,43.13,0.95,3.47,-2.3000599999999998,0
387,2016-01-02 08:00:00-06,1.1053833333333332,42.82,0.82,3.6,0.834837,0
399,2016-01-02 09:00:00-06,2.0042166666666668,43.91,0.88,3.65,8.29157,0
411,2016-01-02 10:00:00-06,2.635733333333333,44.81,0.89,4.14,13.5164,0
423,2016-01-02 11:00:00-06,2.75845,45.84,0.89,3.61,42.2416,0
435,2016-01-02 12:00:00-06,2.827166666666667,46.48,0.88,3.53,60.1026,0
447,2016-01-02 13:00:00-06,2.1600333333333332,46.94,0.83,3.03,65.9975,0
459,2016-01-02 14:00:00-06,1.6731833333333332,47.26,0.74,3.22,36.5113,0
471,2016-01-02 15:00:00-06,1.0799333333333332,47.76,0.71,2.99,47.8015,0
483,2016-01-02 16:00:00-06,2.46455,47.1,0.7,2.88,11.0005,0
495,2016-01-02 17:00:00-06,4.938433333333333,46.45,0.88,2.17,21.1719,0
507,2016-01-02 18:00:00-06,1.8378666666666668,44.25,0.91,1.89,-1.70375,0
519,2016-01-02 19:00:00-06,1.86095,43.67,0.8,1.9,-1.87412,0
531,2016-01-02 20:00:00-06,1.51205,42.88,0.79,2.08,-1.6128799999999999,0
543,2016-01-02 21:00:00-06,1.1497,42.91,0.82,0.66,-1.26645,0
555,2016-01-02 22:00:00-06,1.1284833333333333,42.56,0.97,1.99,-1.2891700000000001,0
567,2016-01-02 23:00:00-06,1.1597166666666667,43.0,0.82,2.3,-1.363,0
579,2016-01-03 00:00:00-06,1.0740166666666668,42.3,0.9,2.94,-1.363,0
591,2016-01-03 01:00:00-06,0.7878,42.06,0.85,3.67,-1.363,0
603,2016-01-03 02:00:00-06,0.6869166666666666,41.63,0.81,3.06,-1.29485,0
615,2016-01-03 03:00:00-06,0.7764833333333331,41.72,0.75,2.49,-0.976816,0
627,2016-01-03 04:00:00-06,0.6521,41.8,0.67,3.05,-1.02225,0
639,2016-01-03 05:00:00-06,0.7327166666666665,41.96,0.85,3.35,-1.0563200000000001,0
651,2016-01-03 06:00:00-06,0.7365166666666665,42.54,0.89,3.14,-1.36289,0
663,2016-01-03 07:00:00-06,1.1064,42.81,0.83,2.63,-1.7034599999999998,0
675,2016-01-03 08:00:00-06,1.49215,42.89,0.56,2.9,26.6194,0
687,2016-01-03 09:00:00-06,2.1747666666666667,45.2,0.19,4.89,109.61200000000001,0
699,2016-01-03 10:00:00-06,5.52425,48.85,0.69,4.59,233.541,0
711,2016-01-03 11:00:00-06,2.2365666666666666,52.0,0.63,4.65,390.98199999999997,0
723,2016-01-03 12:00:00-06,2.0168666666666666,54.16,0.59,4.61,306.04200000000003,0
735,2016-01-03 13:00:00-06,1.6743,57.04,0.55,4.52,192.72099999999998,0
747,2016-01-03 14:00:00-06,1.0829666666666669,58.33,0.42,5.15,142.53799999999998,0
